"acc","locus_tag","gene_name","length_nt","start","end","type","annotation"
"NP_012549.3","YJR015W",NA,1533,462721,464253,"protein_coding","hypothetical protein"
"NP_012550.1","YJR016C","ILV3",1758,464451,466208,"protein_coding","dihydroxy-acid dehydratase ILV3"
"NP_012551.2","YJR017C","ESS1",513,466521,467033,"protein_coding","peptidylprolyl isomerase ESS1"
"NP_012553.3","YJR019C","TES1",1050,467232,468281,"protein_coding","Tes1p"
"NP_012556.2","YJR022W","LSM8",330,469784,470113,"protein_coding","U4/U6-U5 snRNP complex subunit LSM8"
"NP_012558.3","YJR024C","MDE1",735,470230,470964,"protein_coding","methylthioribulose 1-phosphate dehydratase MDE1"
"NP_012559.1","YJR025C","BNA1",534,471138,471671,"protein_coding","3-hydroxyanthranilate 3,4-dioxygenase"
"NP_012561.3","YJR026W",NA,1323,472760,474082,"protein_coding","gag protein"
"NP_012563.1","YJR028W",NA,1323,478344,479666,"protein_coding","gag protein"
"NP_012564.3","YJR030C","RBH2",2238,483959,486196,"protein_coding","hypothetical protein"
"NP_012565.1","YJR031C","GEA1",4227,486586,490812,"protein_coding","Arf family guanine nucleotide exchange factor GEA1"
"NP_012566.1","YJR032W","CPR7",1182,491081,492262,"protein_coding","peptidylprolyl isomerase CPR7"
"NP_012567.3","YJR033C","RAV1",4074,492378,496451,"protein_coding","Rav1p"
"NP_012568.1","YJR034W","PET191",327,496683,497009,"protein_coding","Pet191p"
"NP_012569.1","YJR035W","RAD26",3258,497355,500612,"protein_coding","DNA-dependent ATPase RAD26"
"NP_012570.3","YJR036C","HUL4",2679,500713,503391,"protein_coding","putative E3 ubiquitin-protein ligase HUL4"
"NP_012573.1","YJR039W",NA,3366,503936,507301,"protein_coding","hypothetical protein"
"NP_012574.1","YJR040W","GEF1",2340,507746,510085,"protein_coding","Gef1p"
"NP_012575.3","YJR041C","URB2",3525,510239,513763,"protein_coding","Urb2p"
"NP_012576.1","YJR042W","NUP85",2235,514055,516289,"protein_coding","Nup85p"
"NP_012577.1","YJR043C","POL32",1053,516461,517513,"protein_coding","DNA polymerase delta subunit POL32"
"NP_012578.3","YJR044C","VPS55",423,518763,519185,"protein_coding","Vps55p"
"NP_012579.1","YJR045C","SSC1",1965,519638,521602,"protein_coding","Hsp70 family ATPase SSC1"
"NP_012580.1","YJR046W","TAH11",1815,522048,523862,"protein_coding","Tah11p"
"NP_012581.3","YJR047C","ANB1",474,524908,525381,"protein_coding","translation elongation factor eIF-5A"
"NP_012582.1","YJR048W","CYC1",330,526335,526664,"protein_coding","cytochrome c isoform 1"
"NP_012583.1","YJR049C","UTR1",1593,526884,528476,"protein_coding","NADH/NAD(+) kinase"
"NP_012584.3","YJR050W","ISY1",708,528697,529404,"protein_coding","Isy1p"
"NP_012585.1","YJR051W","OSM1",1506,529861,531366,"protein_coding","fumarate reductase"
"NP_012586.1","YJR052W","RAD7",1698,532062,533759,"protein_coding","UV-damaged DNA-binding protein RAD7"
"NP_012587.3","YJR053W","BFA1",1725,534027,535751,"protein_coding","Bfa1p"
"NP_012588.1","YJR054W","KCH1",1494,536056,537549,"protein_coding","Kch1p"
"NP_012589.1","YJR055W","HIT1",495,538772,539266,"protein_coding","Hit1p"
"NP_012590.3","YJR056C",NA,711,541792,542502,"protein_coding","hypothetical protein"
"NP_012591.1","YJR057W","CDC8",651,544062,544712,"protein_coding","bifunctional thymidylate/uridylate kinase"
"NP_012592.1","YJR058C","APS2",444,544732,545175,"protein_coding","Aps2p"
"NP_012593.3","YJR059W","PTK2",2457,545787,548243,"protein_coding","protein kinase PTK2"
"NP_012594.1","YJR060W","CBF1",1056,548759,549814,"protein_coding","Cbf1p"
"NP_012595.1","YJR061W",NA,2808,550511,553318,"protein_coding","hypothetical protein"
"NP_012596.3","YJR062C","NTA1",1374,553476,554849,"protein_coding","amidase"
"NP_012597.1","YJR063W","RPA12",378,555195,555572,"protein_coding","DNA-directed RNA polymerase I core subunit RPA12"
"NP_012598.1","YJR064W","CCT5",1689,555914,557602,"protein_coding","chaperonin-containing T-complex subunit CCT5"
"NP_012599.3","YJR065C","ARP3",1350,557809,559158,"protein_coding","actin-related protein 3"
"NP_012600.1","YJR066W","TOR1",7413,559416,566828,"protein_coding","phosphatidylinositol kinase-related protein kinase TOR1"
"NP_012601.1","YJR067C","YAE1",426,567019,567444,"protein_coding","Yae1p"
"NP_012602.3","YJR068W","RFC2",1062,567643,568704,"protein_coding","replication factor C subunit 2"
"NP_012603.1","YJR069C","HAM1",594,568806,569399,"protein_coding","nucleoside triphosphate pyrophosphohydrolase HAM1"
"NP_012604.1","YJR070C","LIA1",978,569621,570598,"protein_coding","Lia1p"
"NP_012606.3","YJR072C","NPA3",1158,570967,572124,"protein_coding","GTPase NPA3"
"NP_012607.1","YJR073C","OPI3",621,572315,572935,"protein_coding","bifunctional phosphatidyl-N-methylethanolamine N-methyltransferase/phosphatidyl-N-dimethylethanolamine N-methyltransferase"
"NP_012608.1","YJR074W","MOG1",657,573095,573751,"protein_coding","Ran GTPase-binding protein MOG1"
"NP_012609.3","YJR075W","HOC1",1191,573981,575171,"protein_coding","alpha-1,6-mannosyltransferase"
"NP_012610.1","YJR076C","CDC11",1248,575354,576601,"protein_coding","septin CDC11"
"NP_012611.1","YJR077C","MIR1",936,577255,578190,"protein_coding","Mir1p"
"NP_012612.3","YJR078W","BNA2",1362,578860,580221,"protein_coding","dioxygenase BNA2"
"NP_012614.1","YJR080C","AIM24",1185,580432,581616,"protein_coding","Aim24p"
"NP_012615.3","YJR082C","EAF6",342,581914,582255,"protein_coding","Eaf6p"
"NP_012616.1","YJR083C","ACF4",930,582608,583537,"protein_coding","Acf4p"
"NP_012617.1","YJR084W","CSN12",1272,583733,585004,"protein_coding","hypothetical protein"
"NP_012618.3","YJR085C",NA,318,585120,585437,"protein_coding","hypothetical protein"
"NP_012619.1","YJR086W","STE18",333,586068,586400,"protein_coding","Ste18p"
"NP_012621.1","YJR088C","EMC2",879,586495,587373,"protein_coding","Emc2p"
"NP_012622.3","YJR089W","BIR1",2865,587718,590582,"protein_coding","Bir1p"
"NP_012623.1","YJR090C","GRR1",3456,590872,594327,"protein_coding","SCF ubiquitin ligase complex subunit GRR1"
"NP_012624.1","YJR091C","JSN1",3276,595061,598336,"protein_coding","Jsn1p"
"NP_012625.5","YJR092W","BUD4",4344,598735,603078,"protein_coding","Bud4p"
"NP_012626.1","YJR093C","FIP1",984,603220,604203,"protein_coding","cleavage polyadenylation factor subunit FIP1"
"NP_012627.1","YJR094C","IME1",1083,604569,605651,"protein_coding","transcription factor IME1"
"NP_012629.1","YJR095W","SFC1",969,609773,610741,"protein_coding","Sfc1p"
"NP_012630.1","YJR096W",NA,849,611195,612043,"protein_coding","aldo-keto reductase superfamily protein"
"NP_012631.3","YJR097W","JJJ3",519,612413,612931,"protein_coding","Jjj3p"
"NP_012632.2","YJR098C",NA,1971,613186,615156,"protein_coding","hypothetical protein"
"NP_012633.1","YJR099W","YUH1",711,615576,616286,"protein_coding","ubiquitin-specific protease YUH1"
"NP_012634.3","YJR100C","AIM25",984,616351,617334,"protein_coding","Aim25p"
"NP_012635.1","YJR101W","RSM26",801,618234,619034,"protein_coding","mitochondrial 37S ribosomal protein RSM26"
"NP_012636.1","YJR102C","VPS25",609,619157,619765,"protein_coding","ESCRT-II subunit protein VPS25"
"NP_012637.4","YJR103W","URA8",1737,620754,622490,"protein_coding","CTP synthase URA8"
"NP_012638.1","YJR104C","SOD1",465,622550,623014,"protein_coding","superoxide dismutase SOD1"
"NP_012639.1","YJR105W","ADO1",1023,623581,624603,"protein_coding","adenosine kinase"
"NP_012640.4","YJR106W","ECM27",2178,624838,627015,"protein_coding","Ecm27p"
"NP_012641.2","YJR107W","LIH1",987,627340,628326,"protein_coding","putative lipase"
"NP_012642.1","YJR108W","ABM1",372,628712,629083,"protein_coding","Abm1p"
"NP_012643.3","YJR109C","CPA2",3357,629585,632941,"protein_coding","carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2"
"NP_012644.1","YJR110W","YMR1",2067,633615,635681,"protein_coding","phosphatidylinositol-3-phosphatase YMR1"
"NP_012645.1","YJR111C","PXP2",852,635855,636706,"protein_coding","Pxp2p"
"NP_012646.3","YJR112W","NNF1",606,637030,637635,"protein_coding","MIND complex subunit NNF1"
"NP_012647.1","YJR113C","RSM7",744,638232,638975,"protein_coding","mitochondrial 37S ribosomal protein RSM7"
"NP_012649.3","YJR115W",NA,510,639942,640451,"protein_coding","hypothetical protein"
"NP_012650.1","YJR116W","TDA4",840,640825,641664,"protein_coding","Tda4p"
"NP_012651.1","YJR117W","STE24",1362,642007,643368,"protein_coding","zinc metalloprotease"
"NP_012652.3","YJR118C","ILM1",612,643490,644101,"protein_coding","Ilm1p"
"NP_012653.1","YJR119C","JHD2",2187,644304,646490,"protein_coding","histone demethylase"
"NP_012654.1","YJR120W",NA,351,647126,647476,"protein_coding","hypothetical protein"
"NP_012655.3","YJR121W","ATP2",1536,647607,649142,"protein_coding","F1F0 ATP synthase subunit beta"
"NP_012656.1","YJR122W","IBA57",1494,649776,651269,"protein_coding","Iba57p"
"NP_012657.1","YJR123W","RPS5",678,651901,652578,"protein_coding","ribosomal 40S subunit protein S5"
"NP_012658.3","YJR124C",NA,1347,652892,654238,"protein_coding","hypothetical protein"
"NP_012659.1","YJR125C","ENT3",1227,654737,655963,"protein_coding","Ent3p"
"NP_012660.1","YJR126C","VPS70",2436,656254,658689,"protein_coding","putative zinc metalloprotease"
"NP_012661.3","YJR127C","RSF2",4143,658917,663059,"protein_coding","Rsf2p"
"NP_001335788.1","YJR128W",NA,360,662921,663280,"protein_coding","hypothetical protein"
"NP_012663.2","YJR129C","EFM3",1020,664000,665019,"protein_coding","protein-lysine N-methyltransferase"
"NP_012664.1","YJR130C","STR2",1920,665218,667137,"protein_coding","cystathionine gamma-synthase"
"NP_012665.3","YJR131W","MNS1",1650,667644,669293,"protein_coding","mannosyl-oligosaccharide 1,2-alpha-mannosidase"
"NP_012666.2","YJR132W","NMD5",3147,669522,672668,"protein_coding","Nmd5p"
"NP_012667.1","YJR133W","XPT1",630,672991,673620,"protein_coding","xanthine phosphoribosyltransferase"
"NP_012668.3","YJR134C","SGM1",2124,673729,675852,"protein_coding","Sgm1p"
"NP_012669.1","YJR135C","MCM22",720,676059,676778,"protein_coding","Mcm22p"
"NP_058168.1","YJR135W-A","TIM8",264,676971,677234,"protein_coding","protein transporter TIM8"
"NP_012670.3","YJR136C","TTI2",1266,677441,678706,"protein_coding","Tti2p"
"NP_116579.1","YJR137C","MET5",4329,678957,683285,"protein_coding","sulfite reductase (NADPH) subunit beta"
"NP_012672.1","YJR138W","IML1",4755,684567,689321,"protein_coding","Iml1p"
"NP_012673.3","YJR139C","HOM6",1080,689445,690524,"protein_coding","homoserine dehydrogenase"
"NP_012674.1","YJR140C","HIR3",4947,690750,695696,"protein_coding","Hir3p"
"NP_012675.1","YJR141W","IPA1",1044,695906,696949,"protein_coding","putative polyadenylation protein"
"NP_012676.3","YJR142W",NA,1029,697141,698169,"protein_coding","hypothetical protein"
"NP_012677.1","YJR143C","PMT4",2289,698326,700614,"protein_coding","dolichyl-phosphate-mannose-protein mannosyltransferase"
"NP_012678.1","YJR144W","MGM101",810,700882,701691,"protein_coding","Mgm101p"
"NP_001257683.1","YJR146W",NA,354,703885,704238,"protein_coding","hypothetical protein"
"NP_012681.1","YJR147W","HMS2",1077,704196,705272,"protein_coding","Hms2p"
"NP_012682.1","YJR148W","BAT2",1131,705744,706874,"protein_coding","branched-chain-amino-acid transaminase BAT2"
"NP_012683.4","YJR149W",NA,1215,707160,708374,"protein_coding","putative nitronate monooxygenase"
"NP_012684.4","YJR150C","DAN1",897,708811,709707,"protein_coding","Dan1p"
"NP_012685.1","YJR151C","DAN4",3486,712255,715740,"protein_coding","Dan4p"
"NP_878108.1","YJR151W-A",NA,51,717580,717630,"protein_coding","hypothetical protein"
"NP_012686.3","YJR152W","DAL5",1632,719666,721297,"protein_coding","allantoate permease"
"NP_012687.3","YJR153W","PGU1",1086,722815,723900,"protein_coding","Pgu1p"
"NP_012688.1","YJR154W",NA,1041,725784,726824,"protein_coding","hypothetical protein"
"NP_012689.1","YJR155W","AAD10",867,727405,728271,"protein_coding","putative aryl-alcohol dehydrogenase"
"NP_012690.3","YJR156C","THI11",1023,728574,729596,"protein_coding","4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase"
"NP_012692.3","YJR158W","HXT16",1704,732440,734143,"protein_coding","hexose transporter HXT16"
"NP_012693.1","YJR159W","SOR1",1074,736044,737117,"protein_coding","L-iditol 2-dehydrogenase SOR1"
"NP_012694.1","YJR160C","MPH3",1809,738008,739816,"protein_coding","alpha-glucoside permease"
"NP_012695.3","YJR161C","COS5",1152,742848,743999,"protein_coding","Cos5p"
"NP_012698.1","YKL224C","PAU16",372,1810,2181,"protein_coding","seripauperin PAU16"
"NP_012700.1","YKL222C",NA,2118,3503,5620,"protein_coding","hypothetical protein"
"NP_012701.2","YKL221W","MCH2",1422,6107,7528,"protein_coding","Mch2p"
"NP_012702.1","YKL220C","FRE2",2136,9091,11226,"protein_coding","ferric/cupric-chelate reductase"
"NP_012703.1","YKL219W","COS9",1224,14485,15708,"protein_coding","Cos9p"
"NP_012704.1","YKL218C","SRY1",981,17359,18339,"protein_coding","threo-3-hydroxy-L-aspartate ammonia-lyase SRY1"
"NP_012705.1","YKL217W","JEN1",1851,22234,24084,"protein_coding","Jen1p"
"NP_012706.1","YKL216W","URA1",945,25215,26159,"protein_coding","dihydroorotate dehydrogenase"
"NP_012707.1","YKL215C","OXP1",3861,26827,30687,"protein_coding","5-oxoprolinase"
"NP_012708.1","YKL214C","YRA2",612,31082,31693,"protein_coding","Yra2p"
"NP_012709.1","YKL213C","DOA1",2148,31960,34107,"protein_coding","Doa1p"
"NP_012710.1","YKL212W","SAC1",1872,34543,36414,"protein_coding","phosphatidylinositol-3-phosphatase SAC1"
"NP_012711.1","YKL211C","TRP3",1455,36699,38153,"protein_coding","bifunctional anthranilate synthase/indole-3-glycerol-phosphate synthase"
"NP_012712.1","YKL210W","UBA1",3075,39163,42237,"protein_coding","E1 ubiquitin-activating protein UBA1"
"NP_012713.1","YKL209C","STE6",3873,42423,46295,"protein_coding","ATP-binding cassette a-factor transporter STE6"
"NP_012714.1","YKL208W","CBT1",816,47157,47972,"protein_coding","Cbt1p"
"NP_012715.3","YKL207W","EMC3",762,48194,48955,"protein_coding","Emc3p"
"NP_012716.1","YKL206C","ADD66",804,49006,49809,"protein_coding","Add66p"
"NP_012717.1","YKL205W","LOS1",3303,50051,53353,"protein_coding","Ran GTPase-binding protein LOS1"
"NP_012718.1","YKL204W","EAP1",1899,53704,55602,"protein_coding","Eap1p"
"NP_012719.2","YKL203C","TOR2",7425,55935,63359,"protein_coding","phosphatidylinositol kinase-related protein kinase TOR2"
"NP_012721.1","YKL201C","MNN4",3537,63930,67466,"protein_coding","Mnn4p"
"NP_012723.3","YKL198C","PTK1",1989,68232,70220,"protein_coding","putative serine/threonine protein kinase PTK1"
"NP_012724.1","YKL197C","PEX1",3132,70734,73865,"protein_coding","AAA family ATPase peroxin 1"
"NP_012725.1","YKL196C","YKT6",603,74932,75534,"protein_coding","palmitoyltransferase YKT6"
"NP_012726.2","YKL195W","MIA40",1212,75821,77032,"protein_coding","Mia40p"
"NP_012727.1","YKL194C","MST1",1389,77258,78646,"protein_coding","threonine--tRNA ligase MST1"
"NP_012728.1","YKL193C","SDS22",1017,78866,79882,"protein_coding","type 1 protein phosphatase-activating protein SDS22"
"NP_012729.1","YKL192C","ACP1",378,80160,80537,"protein_coding","acyl carrier protein"
"NP_012730.1","YKL191W","DPH2",1605,81035,82639,"protein_coding","Dph2p"
"NP_012732.1","YKL189W","HYM1",1200,84704,85903,"protein_coding","Hym1p"
"NP_012733.1","YKL188C","PXA2",2562,86225,88786,"protein_coding","ATP-binding cassette long-chain fatty acid transporter PXA2"
"NP_012734.1","YKL187C","FAT3",2253,89284,91536,"protein_coding","Fat3p"
"NP_012735.1","YKL186C","MTR2",555,92744,93298,"protein_coding","Mtr2p"
"NP_012736.1","YKL185W","ASH1",1767,94499,96265,"protein_coding","DNA-binding transcription repressor ASH1"
"NP_012737.1","YKL184W","SPE1",1401,96757,98157,"protein_coding","ornithine decarboxylase SPE1"
"NP_878109.1","YKL183C-A",NA,213,98395,98607,"protein_coding","hypothetical protein"
"NP_012738.1","YKL183W","LOT5",921,98721,99641,"protein_coding","Lot5p"
"NP_012739.1","YKL182W","FAS1",6156,100671,106826,"protein_coding","tetrafunctional fatty acid synthase subunit FAS1"
"NP_012740.1","YKL181W","PRS1",1284,107316,108599,"protein_coding","ribose phosphate diphosphokinase subunit PRS1"
"NP_012742.1","YKL179C","COY1",2040,110464,112503,"protein_coding","Coy1p"
"NP_012743.1","YKL178C","STE3",1413,113215,114627,"protein_coding","Ste3p"
"NP_012745.1","YKL176C","LST4",2487,115500,117986,"protein_coding","Lst4p"
"NP_012746.1","YKL175W","ZRT3",1512,118793,120304,"protein_coding","Zn(2+) transporter ZRT3"
"NP_012747.1","YKL174C","TPO5",1857,120380,122236,"protein_coding","Tpo5p"
"NP_012748.1","YKL173W","SNU114",3027,122517,125543,"protein_coding","U5 snRNP GTPase SNU114"
"NP_012749.1","YKL172W","EBP2",1284,125759,127042,"protein_coding","Ebp2p"
"NP_012750.1","YKL171W","NNK1",2787,127475,130261,"protein_coding","protein kinase NNK1"
"NP_012751.1","YKL170W","MRPL38",417,130634,131050,"protein_coding","mitochondrial 54S ribosomal protein YmL38/YmL34"
"NP_012753.2","YKL168C","KKQ8",2175,131288,133462,"protein_coding","putative serine/threonine protein kinase KKQ8"
"NP_012754.1","YKL167C","MRP49",414,133721,134134,"protein_coding","mitochondrial 54S ribosomal protein MRP49"
"NP_012755.1","YKL166C","TPK3",1197,134509,135705,"protein_coding","cAMP-dependent protein kinase catalytic subunit TPK3"
"NP_012756.1","YKL165C","MCD4",2760,137932,140691,"protein_coding","mannose-ethanolamine phosphotransferase MCD4"
"NP_012757.1","YKL164C","PIR1",1026,141794,142819,"protein_coding","beta-1,3-glucan linked protein"
"NP_012758.1","YKL163W","PIR3",978,144401,145378,"protein_coding","beta-1,3-glucan linked protein"
"NP_012760.1","YKL162C",NA,1209,147630,148838,"protein_coding","hypothetical protein"
"NP_012761.1","YKL161C","KDX1",1302,149386,150687,"protein_coding","putative protein kinase KDX1"
"NP_012762.1","YKL160W","ELF1",438,153269,153706,"protein_coding","Elf1p"
"NP_012763.1","YKL159C","RCN1",636,153816,154451,"protein_coding","Rcn1p"
"NP_012767.1","YKL155C","RSM22",1887,159456,161342,"protein_coding","mitochondrial 37S ribosomal protein RSM22"
"NP_012768.1","YKL154W","SRP102",735,161601,162335,"protein_coding","Signal recognition particle receptor subunit beta"
"NP_012770.1","YKL152C","GPM1",744,163642,164385,"protein_coding","phosphoglycerate mutase GPM1"
"NP_012771.1","YKL151C","NNR2",1014,164917,165930,"protein_coding","NADHX dehydratase"
"NP_012772.1","YKL150W","MCR1",909,166544,167452,"protein_coding","cytochrome-b5 reductase"
"NP_012773.1","YKL149C","DBR1",1218,167612,168829,"protein_coding","RNA lariat debranching enzyme"
"NP_012774.1","YKL148C","SDH1",1923,169207,171129,"protein_coding","succinate dehydrogenase flavoprotein subunit SDH1"
"NP_012776.1","YKL146W","AVT3",2079,171783,173861,"protein_coding","Avt3p"
"NP_012777.1","YKL145W","RPT1",1404,174213,175616,"protein_coding","proteasome regulatory particle base subunit RPT1"
"NP_012778.1","YKL144C","RPC25",639,175843,176481,"protein_coding","DNA-directed RNA polymerase III subunit RPC25"
"NP_012779.1","YKL143W","LTV1",1392,176781,178172,"protein_coding","Ltv1p"
"NP_012780.1","YKL142W","MRP8",660,178515,179174,"protein_coding","Mrp8p"
"NP_012781.1","YKL141W","SDH3",597,179667,180263,"protein_coding","succinate dehydrogenase cytochrome b subunit SDH3"
"NP_012782.1","YKL140W","TGL1",1647,180779,182425,"protein_coding","Tgl1p"
"NP_012783.1","YKL139W","CTK1",1587,182958,184544,"protein_coding","cyclin-dependent serine/threonine protein kinase CTK1"
"NP_690844.1","YKL138C-A","HSK3",210,184803,185012,"protein_coding","Hsk3p"
"NP_012784.1","YKL138C","MRPL31",396,185286,185681,"protein_coding","mitochondrial 54S ribosomal protein YmL31"
"NP_012785.2","YKL137W","CMC1",336,185957,186292,"protein_coding","Cmc1p"
"NP_012787.1","YKL135C","APL2",2181,186460,188640,"protein_coding","Apl2p"
"NP_012788.2","YKL134C","OCT1",2319,189124,191442,"protein_coding","metalloendopeptidase"
"NP_012789.2","YKL133C",NA,1392,191679,193070,"protein_coding","hypothetical protein"
"NP_012790.1","YKL132C","RMA1",1293,193574,194866,"protein_coding","putative tetrahydrofolate synthase"
"NP_012792.1","YKL130C","SHE2",741,195288,196028,"protein_coding","She2p"
"NP_012793.2","YKL129C","MYO3",3819,196349,200167,"protein_coding","myosin 3"
"NP_012794.1","YKL128C","PMU1",888,200884,201771,"protein_coding","putative phosphomutase"
"NP_012795.1","YKL127W","PGM1",1713,203541,205253,"protein_coding","phosphoglucomutase PGM1"
"NP_012796.1","YKL126W","YPK1",2043,205707,207749,"protein_coding","serine/threonine protein kinase YPK1"
"NP_012797.1","YKL125W","RRN3",1884,208247,210130,"protein_coding","rDNA-binding RNA polymerase I transcriptional factor"
"NP_012798.1","YKL124W","SSH4",1740,210593,212332,"protein_coding","Ssh4p"
"NP_012800.1","YKL122C","SRP21",504,212495,212998,"protein_coding","signal recognition particle subunit SRP21"
"NP_012801.1","YKL121W","DGR2",2559,214142,216700,"protein_coding","Dgr2p"
"NP_012802.1","YKL120W","OAC1",975,217344,218318,"protein_coding","Oac1p"
"NP_012803.1","YKL119C","VPH2",648,218570,219217,"protein_coding","Vph2p"
"NP_012805.1","YKL117W","SBA1",651,220324,220974,"protein_coding","Hsp90 cochaperone SBA1"
"NP_012806.1","YKL116C","PRR1",1557,221344,222900,"protein_coding","serine/threonine protein kinase PRR1"
"NP_012808.1","YKL114C","APN1",1104,223352,224455,"protein_coding","DNA-(apurinic or apyrimidinic site) lyase APN1"
"NP_012809.1","YKL113C","RAD27",1149,224727,225875,"protein_coding","multifunctional nuclease RAD27"
"NP_012810.1","YKL112W","ABF1",2196,226570,228765,"protein_coding","DNA-binding protein ABF1"
"NP_012812.1","YKL110C","KTI12",942,228939,229880,"protein_coding","Kti12p"
"NP_012813.1","YKL109W","HAP4",1665,232227,233891,"protein_coding","transcription factor HAP4"
"NP_012814.1","YKL108W","SLD2",1362,234426,235787,"protein_coding","Sld2p"
"NP_012815.1","YKL107W",NA,930,236141,237070,"protein_coding","putative short-chain dehydrogenase/reductase"
"NP_076898.1","YKL106C-A",NA,120,237147,237266,"protein_coding","hypothetical protein"
"NP_012816.1","YKL106W","AAT1",1356,237536,238891,"protein_coding","aspartate transaminase AAT1"
"NP_012817.1","YKL105C","SEG2",3399,239185,242583,"protein_coding","Seg2p"
"NP_012818.1","YKL104C","GFA1",2154,243220,245373,"protein_coding","glutamine--fructose-6-phosphate transaminase (isomerizing) GFA1"
"NP_012819.1","YKL103C","APE1",1545,246138,247682,"protein_coding","metalloaminopeptidase APE1"
"NP_001335789.1","YKL102C",NA,306,248062,248367,"protein_coding","hypothetical protein"
"NP_012821.2","YKL101W","HSL1",4557,248920,253476,"protein_coding","protein kinase HSL1"
"NP_012822.1","YKL100C","YPF1",1764,253697,255460,"protein_coding","aspartic endopeptidase"
"NP_012823.2","YKL099C","UTP11",753,255720,256472,"protein_coding","rRNA-processing protein UTP11"
"NP_012824.1","YKL098W","MTC2",1074,256770,257843,"protein_coding","Mtc2p"
"NP_001335790.1","YKL097C",NA,411,258503,258913,"protein_coding","hypothetical protein"
"NP_878110.1","YKL096C-B",NA,150,259073,259222,"protein_coding","hypothetical protein"
"NP_012826.1","YKL096W-A","CWP2",279,259253,259531,"protein_coding","Cwp2p"
"NP_012827.1","YKL096W","CWP1",720,261132,261851,"protein_coding","Cwp1p"
"NP_012828.1","YKL095W","YJU2",837,262277,263113,"protein_coding","mRNA splicing protein YJU2"
"NP_012829.1","YKL094W","YJU3",942,263349,264290,"protein_coding","acylglycerol lipase"
"NP_012830.1","YKL093W","MBR1",1020,264789,265808,"protein_coding","Mbr1p"
"NP_012831.1","YKL092C","BUD2",3315,266145,269459,"protein_coding","Bud2p"
"NP_012832.1","YKL091C","SFH1",933,269718,270650,"protein_coding","phosphatidylinositol/phosphatidylcholine-binding protein"
"NP_012833.1","YKL090W","CUE2",1332,271878,273209,"protein_coding","Cue2p"
"NP_012834.1","YKL089W","MIF2",1650,273394,275043,"protein_coding","Mif2p"
"NP_012835.1","YKL088W","CAB3",1716,275283,276998,"protein_coding","phosphopantothenoylcysteine decarboxylase complex subunit CAB3"
"NP_012836.1","YKL087C","CYT2",675,277189,277863,"protein_coding","cytochrome c1 heme lyase CYT2"
"NP_012837.1","YKL086W","SRX1",384,278281,278664,"protein_coding","sulfiredoxin"
"NP_012838.1","YKL085W","MDH1",1005,279123,280127,"protein_coding","malate dehydrogenase MDH1"
"NP_012839.1","YKL084W","HOT13",351,280509,280859,"protein_coding","Hot13p"
"NP_012841.1","YKL082C","RRP14",1305,281025,282329,"protein_coding","ribosome biosynthesis protein RRP14"
"NP_012843.1","YKL080W","VMA5",1179,285030,286208,"protein_coding","H(+)-transporting V1 sector ATPase subunit C"
"NP_012844.1","YKL079W","SMY1",1971,286603,288573,"protein_coding","Smy1p"
"NP_012845.1","YKL078W","DHR2",2208,288845,291052,"protein_coding","RNA helicase"
"NP_012846.1","YKL077W",NA,1179,291453,292631,"protein_coding","hypothetical protein"
"NP_012848.1","YKL075C",NA,1353,292956,294308,"protein_coding","hypothetical protein"
"NP_012849.1","YKL074C","MUD2",1584,294610,296193,"protein_coding","Mud2p"
"NP_012850.1","YKL073W","LHS1",2646,296430,299075,"protein_coding","Hsp70 family chaperone LHS1"
"NP_012851.1","YKL072W","STB6",2301,299582,301882,"protein_coding","Stb6p"
"NP_012852.1","YKL071W",NA,771,305114,305884,"protein_coding","hypothetical protein"
"NP_012853.1","YKL070W",NA,510,306211,306720,"protein_coding","hypothetical protein"
"NP_012854.1","YKL069W","YKG9",543,307285,307827,"protein_coding","L-methionine (R)-S-oxide reductase"
"NP_878111.1","YKL068W-A",NA,237,309206,309442,"protein_coding","hypothetical protein"
"NP_012855.1","YKL068W","NUP100",2880,310199,313078,"protein_coding","FG-nucleoporin NUP100"
"NP_012856.1","YKL067W","YNK1",462,314812,315273,"protein_coding","nucleoside diphosphate kinase"
"NP_001032580.1","YKL065W-A",NA,222,315954,316175,"protein_coding","hypothetical protein"
"NP_012858.2","YKL065C","YET1",621,316437,317057,"protein_coding","Yet1p"
"NP_012859.1","YKL064W","MNR2",2910,317764,320673,"protein_coding","putative Mg(2+) transporter MNR2"
"NP_012860.1","YKL063C",NA,504,321015,321518,"protein_coding","hypothetical protein"
"NP_012861.1","YKL062W","MSN4",1893,323228,325120,"protein_coding","stress-responsive transcriptional activator MSN4"
"NP_012862.1","YKL061W","BLI1",342,325771,326112,"protein_coding","Bli1p"
"NP_012863.1","YKL060C","FBA1",1080,326408,327487,"protein_coding","fructose-bisphosphate aldolase FBA1"
"NP_012864.1","YKL059C","MPE1",1326,328118,329443,"protein_coding","cleavage polyadenylation factor subunit MPE1"
"NP_012865.1","YKL058W","TOA2",369,330166,330534,"protein_coding","transcription initiation factor IIA subunit gamma"
"NP_012866.1","YKL057C","NUP120",3114,330856,333969,"protein_coding","Nup120p"
"NP_012867.1","YKL056C","TMA19",504,334412,334915,"protein_coding","Tma19p"
