Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P36173,Glutathione exchanger 2,YKR106W,cellular iron ion homeostasis [GO:0006879]; glutathione transmembrane transport [GO:0034775]; transmembrane transport [GO:0055085]
P14742,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase),YKL104C,fructose 6-phosphate metabolic process [GO:0006002]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; UDP-N-acetylglucosamine metabolic process [GO:0006047]
Q04839,mRNA transport factor GFD1 (Good for full DBP5 activity protein 1),YMR255W,mRNA export from nucleus [GO:0006406]
P25370,Good for full DBP5 activity protein 2,YCL036W,
Q06336,"ADP-ribosylation factor-binding protein GGA1 (Golgi-localized, gamma ear-containing, ARF-binding protein 1)",YDR358W,Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]
P38817,"ADP-ribosylation factor-binding protein GGA2 (Golgi-localized, gamma ear-containing, ARF-binding protein 2)",YHR108W,Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]
P38988,Mitochondrial GTP/GDP carrier protein 1,YDL198C,cellular iron ion homeostasis [GO:0006879]; guanine nucleotide transport [GO:0001408]; mitochondrial genome maintenance [GO:0000002]; transmembrane transport [GO:0055085]
Q12051,"Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (BET2 suppressor protein 1) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)",YPL069C,farnesyl diphosphate biosynthetic process [GO:0045337]; geranyl diphosphate biosynthetic process [GO:0033384]; geranylgeranyl diphosphate biosynthetic process [GO:0033386]; protein transport [GO:0015031]; terpenoid biosynthetic process [GO:0016114]
P38785,GTPase-interacting component 1,YHR061C,establishment of cell polarity [GO:0030010]; heterochromatin organization involved in chromatin silencing [GO:0070868]; regulation of cell shape [GO:0008360]; regulation of exit from mitosis [GO:0007096]; septin ring organization [GO:0031106]
Q06648,GTPase-interacting component 2,YDR309C,establishment of cell polarity [GO:0030010]; positive regulation of formin-nucleated actin cable assembly [GO:0090338]; regulation of cell shape [GO:0008360]; regulation of exit from mitosis [GO:0007096]; septin ring organization [GO:0031106]
P38263,Vacuolar import and degradation protein 24 (Glucose-induced degradation protein 4),YBR105C,negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process in the vacuole [GO:0007039]; protein targeting to vacuole [GO:0006623]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]
Q99382,SRP-independent targeting protein 2 (Late endosome and vacuole interface protein 10),YLR065C,protein transport [GO:0015031]; vacuolar protein processing [GO:0006624]
Q05785,Epsin-2,YLR206W,actin cortical patch assembly [GO:0000147]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]
P38859,DNA replication ATP-dependent helicase/nuclease DNA2 [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)],YHR164C,"cellular response to DNA damage stimulus [GO:0006974]; DNA-dependent DNA replication [GO:0006261]; DNA double-strand break processing [GO:0000729]; DNA repair [GO:0006281]; DNA replication, Okazaki fragment processing [GO:0033567]; DNA strand renaturation [GO:0000733]; lagging strand elongation [GO:0006273]; meiotic DNA double-strand break processing [GO:0000706]; replication fork reversal [GO:0071932]; replicative cell aging [GO:0001302]; telomere maintenance [GO:0000723]"
P54861,Dynamin-related protein DNM1 (EC 3.6.5.5),YLL001W,chronological cell aging [GO:0001300]; dynamin family protein polymerization involved in mitochondrial fission [GO:0003374]; macroautophagy [GO:0016236]; membrane fusion [GO:0061025]; membrane organization [GO:0061024]; mitochondrial fission [GO:0000266]; mitochondrion inheritance [GO:0000001]; mitochondrion organization [GO:0007005]; peroxisome fission [GO:0016559]; peroxisome organization [GO:0007031]; protein homooligomerization [GO:0051260]; vesicle organization [GO:0016050]
P38821,Aspartyl aminopeptidase 4 (EC 3.4.11.21),YHR113W,proteolysis [GO:0006508]
P40318,ERAD-associated E3 ubiquitin-protein ligase DOA10 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase DOA10),YIL030C,ubiquitin-dependent ERAD pathway [GO:0030433]
P36037,Protein DOA1 (Degradation of alpha protein 1) (Ubiquitin fusion degradation protein 3),YKL213C,double-strand break repair via nonhomologous end joining [GO:0006303]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ribophagy [GO:0034517]; ubiquitin recycling [GO:0010992]
P38774,2-deoxyglucose-6-phosphate phosphatase 1 (2-DOG-6-P 1) (2-deoxyglucose-6-phosphatase 1) (EC 3.1.3.68),YHR044C,glucose metabolic process [GO:0006006]
P38773,2-deoxyglucose-6-phosphate phosphatase 2 (2-DOG-6-P 2) (2-deoxyglucose-6-phosphatase 2) (EC 3.1.3.68),YHR043C,glucose metabolic process [GO:0006006]
P47027,DNA replication regulator DPB11,YJL090C,DNA replication checkpoint [GO:0000076]; DNA replication initiation [GO:0006270]; double-strand break repair via break-induced replication [GO:0000727]; mating type switching [GO:0007533]; mismatch repair [GO:0006298]; mitotic G2 DNA damage checkpoint [GO:0007095]; positive regulation of DNA replication origin binding [GO:1902597]; positive regulation of protein phosphorylation [GO:0001934]; recombinational repair [GO:0000725]
P24482,DNA polymerase epsilon subunit B (EC 2.7.7.7) (DNA polymerase II subunit 2),YPR175W,cell cycle [GO:0007049]; DNA-dependent DNA replication [GO:0006261]; DNA-dependent DNA replication maintenance of fidelity [GO:0045005]; error-prone translesion synthesis [GO:0042276]; heterochromatin organization involved in chromatin silencing [GO:0070868]
P27344,DNA polymerase epsilon subunit C (EC 2.7.7.7) (DNA polymerase II subunit C),YBR278W,DNA-dependent DNA replication [GO:0006261]; error-prone translesion synthesis [GO:0042276]; heterochromatin organization involved in chromatin silencing [GO:0070868]; leading strand elongation [GO:0006272]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; replicative cell aging [GO:0001302]
P19516,"Cytochrome c oxidase assembly protein COX11, mitochondrial",YPL132W,aerobic respiration [GO:0009060]; cellular protein-containing complex assembly [GO:0034622]
Q01519,Cytochrome c oxidase subunit 6B (EC 1.9.3.1) (Cytochrome c oxidase polypeptide VIb),YLR038C,mitochondrial respiratory chain complex IV assembly [GO:0033617]; oxidative phosphorylation [GO:0006119]
P32799,"Cytochrome c oxidase subunit 6A, mitochondrial (EC 1.9.3.1) (Cytochrome c oxidase polypeptide VIa)",YGL191W,"aerobic respiration [GO:0009060]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial respirasome assembly [GO:0097250]"
P39103,Cytochrome c oxidase assembly protein COX14,YML129C,mitochondrial respiratory chain complex IV assembly [GO:0033617]; negative regulation of mitochondrial translation [GO:0070130]
P07262,NADP-specific glutamate dehydrogenase 1 (NADP-GDH 1) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 1),YOR375C,ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]
P33413,Urea active transporter,YHL016C,putrescine transport [GO:0015847]; spermidine transport [GO:0015848]; urea catabolic process [GO:0043419]; urea transport [GO:0015840]
P18852,Guanine nucleotide-binding protein subunit gamma,YJR086W,G protein-coupled receptor signaling pathway [GO:0007186]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]
Q03212,Protein EAR1 (Endosomal adapter of RSP5),YMR171C,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]
P36041,Protein EAP1 (eIF4E-associated protein 1),YKL204W,deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA catabolic process [GO:0006402]; negative regulation of translation [GO:0017148]; regulation of growth [GO:0040008]
Q03466,Protein EBS1 (EST1-like BCY1 suppressor 1),YDR206W,"DNA recombination [GO:0006310]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of telomere maintenance via telomerase [GO:0032210]; telomere maintenance via telomerase [GO:0007004]"
P38836,Putative metallocarboxypeptidase ECM14 (EC 3.4.17.-) (Extracellular mutant protein 14),YHR132C,cell wall organization [GO:0071555]; proteolysis [GO:0006508]
P35195,UPF0045 protein ECM15 (Extracellular mutant protein 15),YBL001C,
Q04623,Protein ECM18 (EC 2.3.1.-) (Extracellular mutant protein 18),YDR125C,cardiolipin acyl-chain remodeling [GO:0035965]; cell wall organization [GO:0071555]; lipid homeostasis [GO:0055088]
Q06011,Protein ECM19 (Extracellular mutant protein 19),YLR390W,cell wall organization [GO:0071555]
P39715,Shuttling pre-60S factor ECM1 (Extracellular mutant protein 1) (Protein SIM1),YAL059W,ribosomal large subunit export from nucleus [GO:0000055]
P38167,Protein ECM21 (Extracellular mutant protein 21),YBL101C,cell wall organization [GO:0071555]; ubiquitin-dependent endocytosis [GO:0070086]
Q05958,Sterol regulatory element-binding protein ECM22 (Extracellular mutant protein 22),YLR228C,positive regulation of ergosterol biosynthetic process by positive regulation of transcription from RNA polymerase II promoter [GO:0035961]; positive regulation of filamentous growth of a population of unicellular organisms in response to starvation by positive regulation of transcription from RNA polymerase II promoter [GO:1904741]; positive regulation of sterol import by positive regulation of transcription from RNA polymerase II promoter [GO:0035969]
P38737,Proteasome component ECM29 (Extracellular mutant protein 29),YHL030W,proteasome assembly [GO:0043248]
Q06673,Protein ECM30 (Extracellular mutant protein 30),YLR436C,cell wall organization [GO:0071555]; intracellular protein transport [GO:0006886]
P38248,Cell wall protein ECM33 (Extracellular mutant protein 33),YBR078W,fungal-type cell wall organization [GO:0031505]
P38728,Protein ECM34 (Extracellular mutant protein 34),YHL043W,cell wall organization [GO:0071555]
P33412,Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase),YGR007W,phosphatidylethanolamine biosynthetic process [GO:0006646]
P40023,Enhancer of mRNA-decapping protein 2,YER035W,"deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation in response to stress [GO:0032056]"
Q03330,Histone acetyltransferase GCN5 (EC 2.3.1.48),YGR252W,chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; histone acetylation [GO:0016573]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]
P32471,Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha),YAL003W,maintenance of translational fidelity [GO:1990145]; negative regulation of actin filament bundle assembly [GO:0032232]; regulation of translational termination [GO:0006449]; translational elongation [GO:0006414]
P07261,Glycolytic genes transcriptional activator GCR1,YPL075W,carbon catabolite repression of transcription from RNA polymerase II promoter by glucose [GO:0000433]; nucleosome organization [GO:0034728]; positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from a mobile element promoter [GO:0061435]; regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter [GO:0072363]
Q01722,Glycolytic genes transcriptional activator GCR2,YNL199C,negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of antisense RNA transcription [GO:0060196]; positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter [GO:0072363]
P16521,Elongation factor 3A (EF-3) (EF-3A) (Eukaryotic elongation factor 3) (eEF3) (Translation elongation factor 3A) (Yeast elongation factor 3),YLR249W,negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; translational elongation [GO:0006414]; translational termination [GO:0006415]
P36008,Elongation factor 1-gamma 2 (EF-1-gamma 2) (Eukaryotic elongation factor 1Bgamma 2) (eEF1Bgamma 2) (Translation elongation factor 1B gamma 2),YKL081W,translational elongation [GO:0006414]
P36009,Probable ATP-dependent RNA helicase DHR2 (EC 3.6.4.13) (DEAH box RNA helicase DHR2) (Helicase JA2),YKL078W,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; positive regulation of transcription by RNA polymerase I [GO:0045943]; ribosome biogenesis [GO:0042254]; rRNA methylation [GO:0031167]"
P14284,DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3),YPL167C,DNA replication [GO:0006260]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]
Q05521,Diacylglycerol pyrophosphate phosphatase 1 (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4),YDR284C,phospholipid metabolic process [GO:0006644]
P25555,Single-strand telomeric DNA-binding protein GBP2 (G-strand-binding protein 2) (RAP1 localization factor 6),YCL011C,nuclear mRNA surveillance [GO:0071028]; poly(A)+ mRNA export from nucleus [GO:0016973]; regulation of mRNA stability involved in response to oxidative stress [GO:2000815]; telomere maintenance [GO:0000723]
Q12432,Chromatin modification-related protein EAF3 (ESA1-associated factor 3),YPR023C,"chromatin silencing [GO:0006342]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; histone deacetylation [GO:0016575]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of antisense RNA transcription [GO:0060195]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation from RNA polymerase II promoter [GO:0006368]"
P39995,Chromatin modification-related protein EAF5 (ESA1-associated factor 5),YEL018W,chromatin organization [GO:0006325]; DNA repair [GO:0006281]
P53911,Chromatin modification-related protein EAF7 (ESA1-associated factor 7),YNL136W,DNA repair [GO:0006281]; histone acetylation [GO:0016573]; regulation of transcription by RNA polymerase II [GO:0006357]
P36049,rRNA-processing protein EBP2 (EBNA1-binding protein homolog),YKL172W,nuclear division [GO:0000280]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]
P43605,N-acetyltransferase ECO1 (EC 2.3.1.-) (Chromosome transmission fidelity protein 7) (Establishment of cohesion protein 1),YFR027W,chromosome organization [GO:0051276]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair [GO:0006302]; establishment of mitotic sister chromatid cohesion [GO:0034087]; internal peptidyl-lysine acetylation [GO:0018393]; meiotic chromosome segregation [GO:0045132]; mitotic chromosome condensation [GO:0007076]; regulation of mitotic nuclear division [GO:0007088]; telomere organization [GO:0032200]; tRNA gene clustering [GO:0070058]
Q03214,Protein ECM5 (Extracellular matrix protein 5),YMR176W,cellular response to oxidative stress [GO:0034599]; cell wall organization [GO:0071555]; chromatin remodeling [GO:0006338]
P38246,Protein ECM8 (Extracellular mutant protein 8),YBR076W,cell wall organization [GO:0071555]
Q02202,Protein ECM9 (Extracellular mutant protein 9),YKR004C,cell wall organization [GO:0071555]
P51601,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),YGR267C,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; folic acid biosynthetic process [GO:0046656]; folic acid-containing compound biosynthetic process [GO:0009396]; tetrahydrobiopterin biosynthetic process [GO:0006729]; tetrahydrofolate biosynthetic process [GO:0046654]"
P34216,EH domain-containing and endocytosis protein 1 (Bud site selection protein 15),YBL047C,actin cortical patch organization [GO:0044396]; endocytosis [GO:0006897]; endoplasmic reticulum unfolded protein response [GO:0030968]; positive regulation of cytokinesis [GO:0032467]; regulation of protein localization [GO:0032880]
P39998,Enhancer of mRNA-decapping protein 3,YEL015W,"cytoplasmic mRNA processing body assembly [GO:0033962]; deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]"
P33892,eIF-2-alpha kinase activator GCN1 (General control non-derepressible protein 1) (Translational activator GCN1),YGL195W,cellular response to amino acid starvation [GO:0034198]; cellular response to benomyl [GO:0072755]; cellular response to hydrogen peroxide [GO:0070301]; cellular stress response to acidic pH [GO:1990451]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of kinase activity [GO:0033674]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of translational initiation in response to starvation [GO:0071264]; regulation of eIF2 alpha phosphorylation by amino acid starvation [GO:0060733]; regulation of translational elongation [GO:0006448]
P43535,Protein GCN20 (General control non-derepressible protein 20),YFR009W,cellular response to histidine [GO:0071232]; positive regulation of phosphorylation [GO:0042327]; positive regulation of translational initiation in response to starvation [GO:0071264]; regulation of translational elongation [GO:0006448]
P15442,eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (General control non-derepressible protein 2) (Serine/threonine-protein kinase GCN2),YDR283C,cellular response to amino acid starvation [GO:0034198]; cellular response to benomyl [GO:0072755]; cellular response to histidine [GO:0071232]; cellular response to hydrogen peroxide [GO:0070301]; cellular stress response to acidic pH [GO:1990451]; chronological cell aging [GO:0001300]; DNA damage checkpoint [GO:0000077]; negative regulation of protein kinase activity by protein phosphorylation [GO:0100002]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of cellular response to amino acid starvation [GO:1903833]; positive regulation of macroautophagy [GO:0016239]; positive regulation of translational initiation in response to starvation [GO:0071264]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of eIF2 alpha phosphorylation by amino acid starvation [GO:0060733]; regulation of translational initiation [GO:0006446]; translation [GO:0006412]
P53978,Elongation factor 3B (EF-3B) (Homolog of EF-3) (Translation elongation factor 3B),YNL014W,translational elongation [GO:0006414]
Q12361,G protein-coupled receptor GPR1,YDL035C,detection of glucose [GO:0051594]; detection of sucrose stimulus [GO:0009731]; glucose mediated signaling pathway [GO:0010255]; G protein-coupled receptor signaling pathway [GO:0007186]; hexose mediated signaling [GO:0009757]; invasive growth in response to glucose limitation [GO:0001403]; pseudohyphal growth [GO:0007124]; replicative cell aging [GO:0001302]; sucrose mediated signaling [GO:0009745]
Q08651,Probable oxidoreductase ENV9 (EC 1.1.1.-) (Late endosome and vacuole interface protein 9),YOR246C,vacuolar protein processing [GO:0006624]; vacuole organization [GO:0007033]
P43572,Enhancer of polycomb-like protein 1,YFL024C,cell cycle [GO:0007049]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; positive regulation of macroautophagy [GO:0016239]; regulation of transcription by RNA polymerase II [GO:0006357]
P40557,ER-retained PMA1-suppressing protein 1 (EC 5.3.4.1),YIL005W,cell redox homeostasis [GO:0045454]; protein retention in ER lumen [GO:0006621]; ubiquitin-dependent ERAD pathway [GO:0030433]
P32352,C-8 sterol isomerase (EC 5.-.-.-) (Delta-8--delta-7 sterol isomerase),YMR202W,ergosterol biosynthetic process [GO:0006696]
P53199,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170)",YGL001C,ergosterol biosynthetic process [GO:0006696]
P25340,Delta(24(24(1)))-sterol reductase (EC 1.3.1.71) (C-24(28) sterol reductase) (Sterol Delta(24(28))-reductase),YGL012W,ergosterol biosynthetic process [GO:0006696]; sterol biosynthetic process [GO:0016126]
P43613,ER-localized J domain-containing protein 5,YFR041C,protein folding [GO:0006457]
Q04651,ER-derived vesicles protein ERV41,YML067C,"endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]"
Q06340,Protein ESC2 (Establishes silent chromatin protein 2),YDR363W,chromatin silencing at silent mating-type cassette [GO:0030466]; double-strand break repair via homologous recombination [GO:0000724]; intra-S DNA damage checkpoint [GO:0031573]; mitotic sister chromatid cohesion [GO:0007064]; positive regulation of protein sumoylation [GO:0033235]
Q04410,GRASP65 homolog protein 1,YDR517W,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; protein secretion [GO:0009306]
Q03018,Separin (EC 3.4.22.49) (Separase),YGR098C,apoptotic process [GO:0006915]; meiotic chromosome separation [GO:0051307]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; positive regulation of exit from mitosis [GO:0031536]; regulation of exit from mitosis [GO:0007096]; regulation of mitotic spindle elongation [GO:0032888]
P22696,Peptidyl-prolyl cis-trans isomerase ESS1 (PPIase ESS1) (EC 5.2.1.8) (Parvulin ESS1) (Processing/termination factor 1),YJR017C,histone H3-K4 trimethylation [GO:0080182]; negative regulation of histone deacetylation [GO:0031064]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of chromatin silencing at rDNA [GO:2000749]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]; termination of RNA polymerase II transcription [GO:0006369]
P17214,Telomere elongation protein EST1 (Ever shorter telomeres protein 1),YLR233C,G-quadruplex DNA formation [GO:0071919]; regulation of telomere maintenance via telomerase [GO:0032210]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]
Q12480,"Probable electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF) (Altered inheritance rate of mitochondria protein 45)",YPR004C,fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]
P32474,Protein disulfide-isomerase EUG1 (PDI) (EC 5.3.4.1) (Endoplasmic reticulum protein EUG1),YDR518W,cell redox homeostasis [GO:0045454]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]
P38523,"GrpE protein homolog, mitochondrial",YOR232W,protein import into mitochondrial matrix [GO:0030150]; protein refolding [GO:0042026]
P38767,Ethionine resistance-conferring protein 1,YHR032W,drug transmembrane transport [GO:0006855]; S-adenosylmethionine biosynthetic process [GO:0006556]
Q12452,3-keto-steroid reductase (EC 1.1.1.270),YLR100W,ergosterol biosynthetic process [GO:0006696]
P25087,Sterol 24-C-methyltransferase (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase),YML008C,ergosterol biosynthetic process [GO:0006696]; sterol biosynthetic process [GO:0016126]
P62651,Phosphatidylinositol N-acetylglucosaminyltransferase ERI1 subunit (GPI-GlcNAc transferase complex subunit ERI1) (GPI-GnT subunit ERI1) (Endoplasmic reticulum-associated Ras inhibitor protein 1),YPL096C-A,GPI anchor biosynthetic process [GO:0006506]; Ras protein signal transduction [GO:0007265]
P24521,Phosphomevalonate kinase (EC 2.7.4.2),YMR220W,"ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]; organic acid phosphorylation [GO:0031388]"
Q03103,Endoplasmic oxidoreductin-1 (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase protein 1),YML130C,oxidation-reduction process [GO:0055114]; protein folding in endoplasmic reticulum [GO:0034975]
P39704,Protein ERP2,YAL007C,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; protein retention in ER lumen [GO:0006621]
Q12403,Protein ERP3,YDL018C,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; protein retention in ER lumen [GO:0006621]; vesicle-mediated transport [GO:0016192]
Q12450,Protein ERP4,YOR016C,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; protein retention in ER lumen [GO:0006621]
P38819,Protein ERP5,YHR110W,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
P53198,Protein ERP6,YGL002W,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]
Q07845,Polynucleotide 5'-hydroxyl-kinase GRC3 (EC 2.7.1.-) (Protein GRC3),YLL035W,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; rRNA processing [GO:0006364]; termination of RNA polymerase I transcription [GO:0006363]"
P38715,NADPH-dependent aldose reductase GRE3 (AR) (EC 1.1.1.21) (Genes de respuesta a estres protein 3) (NADPH-dependent aldo-keto reductase GRE3) (Xylose reductase) (EC 1.1.1.-),YHR104W,arabinose catabolic process [GO:0019568]; cellular response to osmotic stress [GO:0071470]; cellular response to oxidative stress [GO:0034599]; D-xylose catabolic process [GO:0042843]; galactose catabolic process [GO:0019388]
P42222,Enolase-related protein 3 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),YMR323W,glycolytic process [GO:0006096]
P53173,ER-derived vesicles protein ERV14,YGL054C,ascospore formation [GO:0030437]; axial cellular bud site selection [GO:0007120]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; negative regulation of receptor localization to synapse [GO:1902684]; regulation of AMPA receptor activity [GO:2000311]
P38312,ER-derived vesicles protein ERV15,YBR210W,axial cellular bud site selection [GO:0007120]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
Q12284,FAD-linked sulfhydryl oxidase ERV2 (EC 1.8.3.2),YPR037C,oxidation-reduction process [GO:0055114]
Q08649,Histone acetyltransferase ESA1 (EC 2.3.1.48),YOR244W,"chromatin silencing at rDNA [GO:0000183]; DNA repair [GO:0006281]; DNA-templated transcription, elongation [GO:0006354]; histone acetylation [GO:0016573]; histone displacement [GO:0001207]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-lysine acetylation [GO:0018394]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]"
Q06344,Pre-rRNA-processing protein ESF1 (18S rRNA factor 1),YDR365C,rRNA processing [GO:0006364]
Q08822,"Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Changed intracellular redox state protein 2) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)",YOR356W,respiratory electron transport chain [GO:0022904]
P42940,Probable electron transfer flavoprotein subunit beta (Beta-ETF) (Changed intracellular redox state protein 1),YGR207C,
