acc,locus_tag,old_locus_tag,length_nt,start,end,type,annotation
WP_010903132.1,VNG_RS06040,VNG1551G,705,1157463,1158167,protein_coding,cobalt-factor II C(20)-methyltransferase
WP_010903133.1,VNG_RS06045,VNG1553G,867,1158160,1159026,protein_coding,cobalamin biosynthesis protein
WP_010903134.1,VNG_RS06050,VNG1554G,978,1159023,1160000,protein_coding,cobalt-precorrin 5A hydrolase
WP_010903135.1,VNG_RS06055,VNG1555G,831,1159997,1160827,protein_coding,cobalt-precorrin-2 C(20)-methyltransferase
WP_010903136.1,VNG_RS06060,VNG1557G,1008,1160827,1161834,protein_coding,precorrin-3B C(17)-methyltransferase
WP_010903137.1,VNG_RS06065,VNG1558H,249,1161834,1162082,protein_coding,ferredoxin
WP_010903138.1,VNG_RS06070,VNG1559H,699,1162079,1162777,protein_coding,hypothetical protein
WP_012289353.1,VNG_RS06075,VNG1561C,1224,1162774,1163997,protein_coding,ferredoxin
WP_010903140.1,VNG_RS06080,VNG1562H,372,1163994,1164365,protein_coding,DUF3209 domain-containing protein
WP_010903141.1,VNG_RS06085,VNG1564H,1224,1164343,1165566,protein_coding,transcriptiol regulator
WP_010903142.1,VNG_RS06090,VNG1565G,2073,1165595,1167667,protein_coding,VWA domain-containing protein
WP_012289354.1,VNG_RS06095,VNG1566G,3900,1167702,1171601,protein_coding,cobaltochelatase subunit CobN
WP_010903144.1,VNG_RS06100,VNG1567G,714,1171591,1172304,protein_coding,precorrin isomerase
WP_010903145.1,VNG_RS06105,VNG1568G,753,1172301,1173053,protein_coding,cobalt-precorrin-7 (C(5))-methyltransferase
WP_010903146.1,VNG_RS06110,VNG1570H,771,1173050,1173820,protein_coding,sirohydrochlorin chelatase
WP_012289355.1,VNG_RS06115,VNG1572C,1002,1173965,1174966,protein_coding,nicotite-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
WP_012289356.1,VNG_RS06120,VNG1573G,1299,1174980,1176278,protein_coding,"cobyrite a,c-diamide synthase"
WP_010903149.1,VNG_RS06125,VNG1574G,678,1176275,1176952,protein_coding,cob(I)alamin adenosyltransferase
WP_010903150.1,VNG_RS06130,VNG1576G,1539,1176954,1178492,protein_coding,cobyric acid synthase CobQ
WP_049892512.1,VNG_RS06135,VNG1577C,618,1178531,1179148,protein_coding,HAD family hydrolase
WP_010903152.1,VNG_RS06140,VNG1578H,927,1179145,1180071,protein_coding,cobalamin biosynthesis protein
WP_012289358.1,VNG_RS06145,VNG1580H,744,1180068,1180811,protein_coding,adenosylcobimide-GDP ribazoletransferase
WP_010903154.1,VNG_RS06150,VNG1581C,570,1180811,1181380,protein_coding,hypothetical protein
WP_010903155.1,VNG_RS06155,VNG1582G,1011,1181398,1182408,protein_coding,threonine-phosphate decarboxylase
WP_010903156.1,VNG_RS06160,VNG1583C,696,1182401,1183096,protein_coding,adenosylcobimide amidohydrolase
WP_010903157.1,VNG_RS06165,VNG1585C,1542,1183163,1184704,protein_coding,DUF262 domain-containing protein
WP_010903158.1,VNG_RS06170,VNG1587H,993,1184767,1185759,protein_coding,IS5 family transposase ISH11
WP_081422752.1,VNG_RS13350,,345,1185749,1186093,protein_coding,DUF262 domain-containing protein
WP_012289254.1,VNG_RS06175,,1167,1186647,1187813,protein_coding,ISH3 family transposase ISH3C
WP_010903159.1,VNG_RS06185,VNG1589C,414,1188524,1188937,protein_coding,hypothetical protein
WP_010903162.1,VNG_RS06195,VNG1592G,810,1190152,1190961,protein_coding,sulfate ABC transporter permease
WP_010903163.1,VNG_RS06200,VNG1595C,930,1190958,1191887,protein_coding,ABC transporter substrate-binding protein
WP_010903164.1,VNG_RS06205,VNG1598a,432,1191948,1192379,protein_coding,Tfx family D-binding protein
WP_010903165.1,VNG_RS06210,VNG1601G,1422,1192390,1193811,protein_coding,glycine dehydrogese subunit 2
WP_010903166.1,VNG_RS06215,VNG1603G,1326,1193811,1195136,protein_coding,glycine dehydrogese
WP_010903167.1,VNG_RS06220,VNG1605G,375,1195419,1195793,protein_coding,glycine cleavage system protein H
WP_010903168.1,VNG_RS06225,VNG1606G,1092,1195790,1196881,protein_coding,glycine cleavage system protein T
WP_010903169.1,VNG_RS06230,VNG1607G,591,1197028,1197618,protein_coding,chemotaxis protein CheC
WP_012289360.1,VNG_RS06235,VNG1608C,459,1197741,1198199,protein_coding,NYN domain-containing protein
WP_010903171.1,VNG_RS06240,VNG1609C,708,1198223,1198930,protein_coding,TIGR00266 family protein
WP_010903172.1,VNG_RS06245,VNG1610C,846,1199058,1199903,protein_coding,deoxyribonuclease
WP_010903173.1,VNG_RS06250,VNG1611C,588,1199977,1200564,protein_coding,DUF2150 domain-containing protein
WP_012289361.1,VNG_RS06255,,2001,1200614,1202614,protein_coding,hypothetical protein
WP_010903175.1,VNG_RS06260,VNG1615G,1338,1202684,1204021,protein_coding,hydroxymethylglutaryl-CoA synthase
WP_010903176.1,VNG_RS06265,VNG1618H,585,1204023,1204607,protein_coding,D(P)H-dependent oxidoreductase
WP_012289362.1,VNG_RS06270,VNG1616C,714,1204670,1205383,protein_coding,transcriptiol regulator
WP_010903178.1,VNG_RS06275,VNG1617H,489,1205478,1205966,protein_coding,N-acetyltransferase
WP_010903179.1,VNG_RS06280,VNG1619H,573,1205963,1206535,protein_coding,hypothetical protein
WP_010903180.1,VNG_RS06285,VNG1621H,456,1206584,1207039,protein_coding,pyridoxamine 5'-phosphate oxidase family protein
WP_012289363.1,VNG_RS06290,VNG1622G,1416,1207128,1208543,protein_coding,ATPase AAA
WP_010903182.1,VNG_RS06295,VNG1623G,834,1208540,1209373,protein_coding,heme A synthase
WP_010903183.1,VNG_RS06300,VNG1624G,2253,1209504,1211756,protein_coding,DP-dependent malic enzyme
WP_010903184.1,VNG_RS06305,VNG1625H,624,1211764,1212387,protein_coding,hypothetical protein
WP_012289364.1,VNG_RS06310,VNG1626C,909,1212506,1213414,protein_coding,EamA family transporter
WP_010903186.1,VNG_RS06315,VNG1628G,975,1213427,1214401,protein_coding,aldo/keto reductase
WP_010903187.1,VNG_RS06320,VNG1630H,234,1214457,1214690,protein_coding,hypothetical protein
WP_010903188.1,VNG_RS06325,VNG1631G,729,1214890,1215618,protein_coding,ABC transporter ATP-binding protein
WP_010903189.1,VNG_RS06330,VNG1632G,729,1215673,1216401,protein_coding,cobalt ECF transporter T component CbiQ
WP_010903190.1,VNG_RS06335,VNG1634G,291,1216405,1216695,protein_coding,cobalt transporter CbiN
WP_010903191.1,VNG_RS06340,VNG1635G,663,1216692,1217354,protein_coding,cobalt transporter CbiM
WP_010903192.1,VNG_RS06345,VNG1637G,858,1217584,1218441,protein_coding,halocyanin
WP_010903193.1,VNG_RS06355,VNG1638H,1131,1218759,1219889,protein_coding,hypothetical protein
WP_010903194.1,VNG_RS06360,VNG1640H,381,1219873,1220253,protein_coding,hypothetical protein
WP_010903195.1,VNG_RS06365,VNG1641H,627,1220349,1220975,protein_coding,TVP38/TMEM64 family protein
WP_010903197.1,VNG_RS06370,VNG1644G,3156,1221158,1224313,protein_coding,"ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent"
WP_010903198.1,VNG_RS06375,VNG1645H,186,1224647,1224832,protein_coding,hypothetical protein
WP_010903199.1,VNG_RS06380,VNG1646G,597,1224838,1225434,protein_coding,glutamine amidotransferase
WP_010903200.1,VNG_RS06385,VNG1647G,1584,1225431,1227014,protein_coding,anthranilate synthase component I
WP_010903201.1,VNG_RS06390,VNG1648G,657,1227011,1227667,protein_coding,N-(5'-phosphoribosyl)anthranilate isomerase
WP_010903202.1,VNG_RS06395,VNG1649G,1011,1227664,1228674,protein_coding,anthranilate phosphoribosyltransferase
WP_010903203.1,VNG_RS06405,VNG1650H,849,1229492,1230340,protein_coding,hypothetical protein
WP_010903204.1,VNG_RS06410,VNG1653H,1275,1231161,1232435,protein_coding,IS4 family transposase ISH8E
WP_010903205.1,VNG_RS13355,VNG1654G,1185,1232639,1233823,protein_coding,ATP-binding protein
WP_010903206.1,VNG_RS06415,VNG1655H,357,1234475,1234831,protein_coding,hypothetical protein
WP_010903207.1,VNG_RS06420,VNG1657H,1002,1234828,1235829,protein_coding,PGF-CTERM sorting domain-containing protein
WP_010903208.1,VNG_RS06425,VNG1656H,444,1235959,1236402,protein_coding,hypothetical protein
WP_010903209.1,VNG_RS06430,VNG1658C,432,1236404,1236835,protein_coding,universal stress protein
WP_010903210.1,VNG_RS06435,VNG1659G,1611,1237084,1238694,protein_coding,chemotaxis protein
WP_010903211.1,VNG_RS06440,VNG1660G,720,1238694,1239413,protein_coding,rhodopsin
WP_010903212.1,VNG_RS06445,VNG1663C,1143,1239515,1240657,protein_coding,CBS domain-containing protein
WP_010903213.1,VNG_RS06450,VNG1664H,192,1240710,1240901,protein_coding,hypothetical protein
WP_010903214.1,VNG_RS06455,VNG1665G,711,1240909,1241619,protein_coding,D repair protein RadB
WP_010903215.1,VNG_RS06460,VNG1666H,768,1241720,1242487,protein_coding,D(P)-dependent oxidoreductase
WP_010903216.1,VNG_RS06465,VNG1667G,2229,1242669,1244897,protein_coding,ATPase
WP_010903217.1,VNG_RS06470,VNG1668G,375,1244981,1245355,protein_coding,30S ribosomal protein S8e
WP_010903218.1,VNG_RS06475,VNG1670C,456,1245442,1245897,protein_coding,DUF2240 domain-containing protein
WP_010903219.1,VNG_RS06480,VNG1672H,384,1245887,1246270,protein_coding,hypothetical protein
WP_010903220.1,VNG_RS06485,VNG1673G,804,1246366,1247169,protein_coding,orotidine 5'-phosphate decarboxylase
WP_010903222.1,VNG_RS06490,VNG1675H,510,1247384,1247893,protein_coding,J domain-containing protein
WP_010903223.1,VNG_RS06495,VNG1675a,612,1247923,1248534,protein_coding,HAD family hydrolase
WP_010903224.1,VNG_RS06500,VNG1676G,1623,1248609,1250231,protein_coding,GTP-binding protein
WP_010903225.1,VNG_RS06505,VNG1678H,369,1250266,1250634,protein_coding,hypothetical protein
WP_010903226.1,VNG_RS06510,VNG1679H,492,1250640,1251131,protein_coding,hypothetical protein
WP_010903227.1,VNG_RS06515,VNG1680G,969,1251280,1252248,protein_coding,phytoene/squalene synthase family protein
WP_010903228.1,VNG_RS06520,VNG1681C,840,1252256,1253095,protein_coding,hypothetical protein
WP_010903229.1,VNG_RS06525,VNG1682C,828,1253088,1253915,protein_coding,prenyltransferase
WP_010903230.1,VNG_RS06530,VNG1684G,1539,1253922,1255460,protein_coding,phytoene desaturase
WP_010903231.1,VNG_RS06535,VNG1686G,936,1255507,1256442,protein_coding,"N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase"
WP_010903232.1,VNG_RS06540,VNG1687C,1254,1256502,1257755,protein_coding,MFS transporter
WP_010903233.1,VNG_RS06550,VNG1688C,852,1258177,1259028,protein_coding,hypothetical protein
WP_010903234.1,VNG_RS06555,VNG1689G,1008,1259033,1260040,protein_coding,50S ribosomal protein L3
WP_010903235.1,VNG_RS06560,VNG1690G,753,1260044,1260796,protein_coding,50S ribosomal protein L4
WP_010903236.1,VNG_RS06565,VNG1691G,255,1260793,1261047,protein_coding,50S ribosomal protein L23
WP_010903237.1,VNG_RS06570,VNG1692G,723,1261050,1261772,protein_coding,50S ribosomal protein L2
WP_010903238.1,VNG_RS06575,VNG1693G,423,1261776,1262198,protein_coding,30S ribosomal protein S19
WP_010903239.1,VNG_RS06580,VNG1695G,471,1262202,1262672,protein_coding,50S ribosomal protein L22
WP_010903240.1,VNG_RS06585,VNG1697G,909,1262672,1263580,protein_coding,30S ribosomal protein S3
WP_010903241.1,VNG_RS06590,VNG1698G,216,1263580,1263795,protein_coding,50S ribosomal protein L29
WP_010903242.1,VNG_RS06595,VNG1699C,372,1263804,1264175,protein_coding,ribonuclease P
WP_010903243.1,VNG_RS06600,VNG1700G,330,1264166,1264495,protein_coding,30S ribosomal protein S17
WP_010903244.1,VNG_RS06605,VNG1701G,399,1264495,1264893,protein_coding,50S ribosomal protein L14
WP_010903245.1,VNG_RS06610,VNG1702G,357,1264898,1265254,protein_coding,50S ribosomal protein L24
WP_010903246.1,VNG_RS06615,VNG1703G,702,1265251,1265952,protein_coding,30S ribosomal protein S4e
WP_010903247.1,VNG_RS06620,VNG1705G,528,1265949,1266476,protein_coding,50S ribosomal protein L5
WP_010903248.1,VNG_RS06625,VNG1706G,159,1266473,1266631,protein_coding,30S ribosomal protein S14
WP_010903249.1,VNG_RS06630,VNG1707G,393,1266634,1267026,protein_coding,30S ribosomal protein S8
WP_010903250.1,VNG_RS06635,VNG1709G,537,1267030,1267566,protein_coding,50S ribosomal protein L6
WP_010903251.1,VNG_RS06640,VNG1711G,720,1267570,1268289,protein_coding,50S ribosomal protein L32e
WP_010903252.1,VNG_RS06645,VNG1713G,450,1268282,1268731,protein_coding,50S ribosomal protein L19e
WP_010903253.1,VNG_RS06650,VNG1714G,552,1268731,1269282,protein_coding,50S ribosomal protein L18
WP_010903254.1,VNG_RS06655,VNG1715G,639,1269286,1269924,protein_coding,30S ribosomal protein S5
WP_010903255.1,VNG_RS06660,VNG1716G,465,1269924,1270388,protein_coding,50S ribosomal protein L30
WP_010903256.1,VNG_RS06665,VNG1718G,462,1270394,1270855,protein_coding,50S ribosomal protein L15
WP_010903257.1,VNG_RS06670,VNG1719G,1476,1270859,1272334,protein_coding,preprotein translocase subunit SecY
WP_010903258.1,VNG_RS06675,VNG1720H,1164,1272410,1273573,protein_coding,ABC transporter substrate-binding protein
WP_049892514.1,VNG_RS06680,,195,1273580,1273774,protein_coding,hypothetical protein
WP_010903259.1,VNG_RS06685,VNG1721G,1677,1273771,1275447,protein_coding,potassium transporter Trk
WP_010903260.1,VNG_RS06690,VNG1723H,411,1275550,1275960,protein_coding,hypothetical protein
WP_010903261.1,VNG_RS06695,VNG1724G,651,1276049,1276699,protein_coding,adenylate kise
WP_010903262.1,VNG_RS06700,VNG1726G,873,1276763,1277635,protein_coding,DUF106 domain-containing protein
WP_010903263.1,VNG_RS06705,VNG1727G,579,1277691,1278269,protein_coding,cytidylate kise
WP_012289369.1,VNG_RS06710,VNG1729G,906,1278271,1279176,protein_coding,R-guided pseudouridylation complex pseudouridine synthase subunit Cbf5
WP_010903265.1,VNG_RS06720,VNG1732C,1755,1279783,1281537,protein_coding,hypothetical protein
WP_010903266.1,VNG_RS06725,VNG1733G,1611,1281743,1283353,protein_coding,methyl-accepting chemotaxis protein
WP_010903267.1,VNG_RS06730,VNG1734H,336,1283350,1283685,protein_coding,hypothetical protein
WP_010903268.1,VNG_RS06735,VNG1735C,786,1283837,1284622,protein_coding,MOSC domain-containing protein
WP_010903269.1,VNG_RS06740,VNG1737H,972,1284679,1285650,protein_coding,hypothetical protein
WP_010903270.1,VNG_RS06745,VNG1739G,840,1285676,1286515,protein_coding,HtlC
WP_010903271.1,VNG_RS06750,VNG1740C,978,1286560,1287537,protein_coding,hypothetical protein
WP_012289370.1,VNG_RS06755,,426,1287534,1287959,protein_coding,hypothetical protein
WP_012289371.1,VNG_RS06760,,315,1287967,1288281,protein_coding,transcription factor S
WP_010903273.1,VNG_RS06765,VNG1744H,861,1288323,1289183,protein_coding,ZIP family metal transporter
WP_010903274.1,VNG_RS06770,VNG1746C,690,1289265,1289954,protein_coding,hypothetical protein
WP_010903275.1,VNG_RS06775,VNG1748C,675,1289955,1290629,protein_coding,D(P)-dependent oxidoreductase
WP_010903276.1,VNG_RS06780,VNG1749G,1191,1290751,1291941,protein_coding,redox-regulated ATPase YchF
WP_010903277.1,VNG_RS06785,VNG1751H,954,1291955,1292908,protein_coding,PAS domain S-box protein
WP_010903278.1,VNG_RS06790,VNG1752C,432,1292962,1293393,protein_coding,universal stress protein
WP_010903279.1,VNG_RS06795,VNG1754G,1389,1293457,1294845,protein_coding,deoxyribodipyrimidine photo-lyase
WP_012289373.1,VNG_RS06800,VNG1755G,1557,1294848,1296404,protein_coding,phytoene desaturase
WP_049892515.1,VNG_RS06805,VNG1756G,285,1296505,1296789,protein_coding,translation initiation factor 1A 2
WP_010903282.1,VNG_RS06810,VNG1758H,288,1296996,1297283,protein_coding,hypothetical protein
WP_010903283.1,VNG_RS06815,VNG1759G,1638,1297280,1298917,protein_coding,chemotaxis protein
WP_010903284.1,VNG_RS06820,VNG1760G,2433,1298933,1301365,protein_coding,chemotaxis protein
WP_010903285.1,VNG_RS06825,VNG1762G,1005,1301370,1302374,protein_coding,ABC transporter
WP_010903286.1,VNG_RS06830,VNG1764G,714,1304168,1304881,protein_coding,sensory rhodopsin-2
WP_010903287.1,VNG_RS06835,VNG1765G,2295,1304883,1307177,protein_coding,methyl-accepting chemotaxis protein
WP_010903288.1,VNG_RS06840,VNG1766C,762,1307267,1308028,protein_coding,Nif3-like dinuclear metal center hexameric protein
WP_010903289.1,VNG_RS06845,VNG1767G,819,1308056,1308874,protein_coding,agmatise
WP_010903290.1,VNG_RS06850,VNG1768G,384,1308878,1309261,protein_coding,translation initiation factor IF-5A
WP_012289375.1,VNG_RS06855,VNG1769C,777,1309363,1310139,protein_coding,amidase
WP_012289376.1,VNG_RS06860,VNG1770C,1743,1310187,1311929,protein_coding,AarF/ABC1/UbiB kise family protein
WP_010903293.1,VNG_RS06865,VNG1771C,351,1311933,1312283,protein_coding,Hsp20/alpha crystallin family protein
WP_010903294.1,VNG_RS06870,VNG1772G,657,1312357,1313013,protein_coding,HAD family hydrolase
WP_010903295.1,VNG_RS06875,VNG1773G,276,1313067,1313342,protein_coding,4a-hydroxytetrahydrobiopterin dehydratase
WP_010903296.1,VNG_RS06880,VNG1774G,1311,1313406,1314716,protein_coding,glutamyl-tR reductase
WP_010903297.1,VNG_RS06885,VNG1775C,663,1314713,1315375,protein_coding,hypothetical protein
WP_010903298.1,VNG_RS06890,VNG1776G,1059,1315383,1316441,protein_coding,Lrp/AsnC family transcriptiol regulator
WP_010903299.1,VNG_RS06895,VNG1777H,417,1316499,1316915,protein_coding,hypothetical protein
WP_010903300.1,VNG_RS06900,VNG1779C,909,1317052,1317960,protein_coding,UDP pyrophosphate synthase
WP_012289377.1,VNG_RS06905,,609,1317980,1318588,protein_coding,"di-trans,poly-cis-decaprenylcistransferase / (Z)-prenyl diphosphate synthase"
WP_012289378.1,VNG_RS06910,VNG1782C,1323,1318677,1319999,protein_coding,DUF92 domain-containing protein
WP_012289379.1,VNG_RS06915,VNG1784C,1221,1320001,1321221,protein_coding,D primase
WP_010903304.1,VNG_RS06920,VNG1783H,213,1321352,1321564,protein_coding,DUF3311 domain-containing protein
WP_010903305.1,VNG_RS06925,VNG1785G,1449,1321603,1323051,protein_coding,sodium:solute symporter
WP_010903306.1,VNG_RS06930,VNG1786H,279,1323053,1323331,protein_coding,PadR family transcriptiol regulator
WP_010903307.1,VNG_RS06935,VNG1787H,969,1323330,1324298,protein_coding,hypothetical protein
WP_049892517.1,VNG_RS06940,VNG1788C,906,1324350,1325255,protein_coding,hypothetical protein
WP_010903309.1,VNG_RS06945,VNG1790H,360,1325295,1325654,protein_coding,hypothetical protein
WP_010903310.1,VNG_RS06950,VNG1791C,717,1325656,1326372,protein_coding,DUF1405 domain-containing protein
WP_010903311.1,VNG_RS06955,VNG1793C,909,1326538,1327446,protein_coding,pyridoxal biosynthesis lyase PdxS
WP_010903312.1,VNG_RS06960,VNG1794C,2085,1327456,1329540,protein_coding,nuclease
WP_010903313.1,VNG_RS06965,VNG1797G,906,1329752,1330657,protein_coding,homoserine kise
WP_010903314.1,VNG_RS06970,VNG1795C,1317,1330778,1332094,protein_coding,FAD-dependent oxidoreductase
WP_010903315.1,VNG_RS06975,VNG1796H,318,1332167,1332484,protein_coding,hypothetical protein
WP_049892518.1,VNG_RS06980,,228,1332510,1332737,protein_coding,hypothetical protein
WP_010903316.1,VNG_RS06985,VNG1798H,573,1332857,1333429,protein_coding,hypothetical protein
WP_010903317.1,VNG_RS06990,VNG1800H,192,1333485,1333676,protein_coding,hypothetical protein
WP_010903318.1,VNG_RS06995,VNG1801G,516,1333815,1334330,protein_coding,Hsp20/alpha crystallin family protein
WP_010903319.1,VNG_RS07000,VNG1802H,822,1334327,1335148,protein_coding,hypothetical protein
WP_010903320.1,VNG_RS07005,VNG1804G,1254,1335461,1336714,protein_coding,D(P)/FAD-dependent oxidoreductase
WP_010903321.1,VNG_RS07010,VNG1806H,234,1336842,1337075,protein_coding,hypothetical protein
WP_010903322.1,VNG_RS07015,VNG1807H,420,1337141,1337560,protein_coding,hypothetical protein
WP_010903323.1,VNG_RS07020,VNG1809H,549,1337618,1338166,protein_coding,hypothetical protein
WP_010903324.1,VNG_RS07025,VNG1811G,1305,1338204,1339508,protein_coding,succinoglycan biosynthesis
WP_010903325.1,VNG_RS07030,VNG1814G,3129,1339799,1342927,protein_coding,carbamoyl phosphate synthase large subunit
WP_010903326.1,VNG_RS07035,VNG1815G,1062,1342998,1344059,protein_coding,carbamoyl-phosphate synthase small subunit
WP_010903327.1,VNG_RS07040,VNG1816G,414,1344157,1344570,protein_coding,Lrp/AsnC family transcriptiol regulator
WP_012289385.1,VNG_RS07045,VNG1818G,630,1344610,1345239,protein_coding,NUDIX domain-containing protein
WP_010903329.1,VNG_RS07050,VNG1818a,411,1345287,1345697,protein_coding,hypothetical protein
WP_010903330.1,VNG_RS07055,VNG1820H,234,1345750,1345983,protein_coding,hypothetical protein
WP_010903331.1,VNG_RS07060,VNG1821G,1044,1345983,1347026,protein_coding,alcohol dehydrogese
WP_010903332.1,VNG_RS07065,VNG1822G,618,1347117,1347734,protein_coding,molybdenum cofactor biosynthesis protein MoaB
WP_010903333.1,VNG_RS07070,VNG1823C,708,1347731,1348438,protein_coding,5-formyltetrahydrofolate cyclo-ligase
WP_010903334.1,VNG_RS07075,VNG1826H,228,1348491,1348718,protein_coding,hypothetical protein
WP_010903335.1,VNG_RS07080,VNG1827H,321,1348757,1349077,protein_coding,hypothetical protein
WP_010903336.1,VNG_RS07085,VNG1829G,918,1349130,1350047,protein_coding,glutamine-hydrolyzing GMP synthase subunit GuaA
WP_010903337.1,VNG_RS07090,VNG1830G,1662,1350047,1351708,protein_coding,CTP synthetase
WP_012289386.1,VNG_RS07095,VNG1831H,777,1351798,1352574,protein_coding,hypothetical protein
WP_010903340.1,VNG_RS07100,VNG1833C,618,1352827,1353444,protein_coding,alpha/beta hydrolase
WP_010903341.1,VNG_RS07105,VNG1834G,639,1353443,1354081,protein_coding,HyrA
WP_012289388.1,VNG_RS07110,VNG1835G,1923,1354112,1356034,protein_coding,threonine--tR ligase
WP_010903343.1,VNG_RS07115,VNG1836G,210,1356243,1356452,protein_coding,cold-shock protein
WP_010903344.1,VNG_RS07120,VNG1837G,1032,1356582,1357613,protein_coding,dipeptide epimerase
WP_010903345.1,VNG_RS07125,VNG1839H,1014,1357610,1358623,protein_coding,DUF1611 domain-containing protein
WP_049892519.1,VNG_RS07130,VNG1838H,198,1358744,1358941,protein_coding,hypothetical protein
WP_012289389.1,VNG_RS07135,VNG1842H,882,1358949,1359830,protein_coding,hypothetical protein
WP_012289390.1,VNG_RS07140,,339,1359875,1360213,protein_coding,hypothetical protein
WP_010903348.1,VNG_RS07145,VNG1843C,657,1360326,1360982,protein_coding,MarR family transcriptiol regulator
WP_010903349.1,VNG_RS07150,VNG1844G,1284,1361018,1362301,protein_coding,Glu-tR(Gln) amidotransferase GatDE subunit D
WP_012289391.1,VNG_RS07155,VNG1845C,933,1362298,1363230,protein_coding,N-acetyltransferase
WP_010903351.1,VNG_RS07160,VNG1846C,732,1363231,1363962,protein_coding,glycerophosphoryl diester phosphodiesterase
WP_012289392.1,VNG_RS07165,VNG1848H,276,1363962,1364237,protein_coding,MoaD/ThiS family protein
WP_012289393.1,VNG_RS07170,VNG1847G,1167,1364334,1365500,protein_coding,potassium channel protein
WP_049892520.1,VNG_RS07175,VNG1849H,1467,1365510,1366976,protein_coding,universal stress protein UspA
WP_010903355.1,VNG_RS07180,VNG1850G,777,1367036,1367812,protein_coding,uridine phosphorylase
WP_010903356.1,VNG_RS07185,VNG1851G,888,1367861,1368748,protein_coding,carbohydrate kise family protein
WP_049892606.1,VNG_RS07190,VNG1852H,825,1368773,1369597,protein_coding,DUF63 domain-containing protein
WP_010903358.1,VNG_RS07195,VNG1853G,945,1369650,1370594,protein_coding,"ribose 1,5-bisphosphate isomerase"
WP_012289396.1,VNG_RS07200,VNG1856G,2418,1370637,1373054,protein_coding,type I deoxyribonuclease HsdR
WP_010903360.1,VNG_RS07205,VNG1857C,1242,1373051,1374292,protein_coding,branched-chain amino acid ABC transporter substrate-binding protein
WP_010903361.1,VNG_RS07210,VNG1859G,639,1374390,1375028,protein_coding,2-deoxyribose-5-phosphate aldolase
WP_010903362.1,VNG_RS07215,VNG1861C,1299,1375087,1376385,protein_coding,MiaB/RimO family radical SAM methylthiotransferase
WP_010903363.1,VNG_RS07220,VNG1862G,900,1376404,1377303,protein_coding,cation transporter
WP_010903364.1,VNG_RS07225,VNG1864G,546,1377344,1377889,protein_coding,HIT domain-containing protein
WP_010903365.1,VNG_RS07230,VNG1865H,201,1378010,1378210,protein_coding,hypothetical protein
WP_010903366.1,VNG_RS07235,VNG1866G,891,1378248,1379138,protein_coding,type II methionyl aminopeptidase
WP_010903367.1,VNG_RS07240,VNG1867G,816,1379187,1380002,protein_coding,ABC transporter permease
WP_010903368.1,VNG_RS07245,VNG1868G,894,1380002,1380895,protein_coding,ABC transporter permease
WP_010903369.1,VNG_RS07250,VNG1869C,1179,1380897,1382075,protein_coding,hypothetical protein
WP_010903370.1,VNG_RS07255,VNG1871G,1125,1382218,1383342,protein_coding,ABC transporter ATP-binding protein
WP_010903371.1,VNG_RS07260,VNG1872C,885,1383349,1384233,protein_coding,asparagise
WP_010903372.1,VNG_RS07265,VNG1873G,1269,1384332,1385600,protein_coding,DP-dependent isocitrate dehydrogese
WP_010903373.1,VNG_RS07270,VNG1874C,525,1385685,1386209,protein_coding,hypothetical protein
WP_010903374.1,VNG_RS07275,VNG1875G,1218,1386216,1387433,protein_coding,3-hydroxy-3-methylglutaryl-CoA reductase
WP_010903375.1,VNG_RS07280,VNG1877C,318,1387529,1387846,protein_coding,hypothetical protein
WP_010903376.1,VNG_RS07285,VNG1879G,1149,1387843,1388991,protein_coding,thiamine ABC transporter substrate-binding protein
WP_010903377.1,VNG_RS07290,VNG1880C,1521,1389042,1390562,protein_coding,amidohydrolase
WP_049892521.1,VNG_RS07295,VNG1882G,1134,1390675,1391808,protein_coding,quinolite synthase dA
WP_010903379.1,VNG_RS07300,VNG1883G,1530,1391811,1393340,protein_coding,aspartate oxidase
WP_010903380.1,VNG_RS07305,VNG1884G,807,1393327,1394133,protein_coding,nicotite-nucleotide diphosphorylase (carboxylating)
WP_010903381.1,VNG_RS07310,VNG1886C,792,1394134,1394925,protein_coding,TrmB family transcriptiol regulator
WP_010903382.1,VNG_RS07315,VNG1886a,339,1395028,1395366,protein_coding,QacE family quaterry ammonium compound efflux SMR transporter
WP_010903383.1,VNG_RS07320,VNG1887G,1527,1395369,1396895,protein_coding,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
WP_010903384.1,VNG_RS07325,VNG1889H,255,1397013,1397267,protein_coding,hypothetical protein
WP_010903385.1,VNG_RS13360,VNG1890H,447,1397374,1397820,protein_coding,hypothetical protein
WP_010903386.1,VNG_RS07335,VNG1891H,1239,1398710,1399948,protein_coding,nuclease
WP_010903387.1,VNG_RS07340,VNG1893G,750,1399992,1400741,protein_coding,ABC transporter ATP-binding protein
WP_010903388.1,VNG_RS07345,VNG1894C,1608,1400742,1402349,protein_coding,hypothetical protein
WP_010903389.1,VNG_RS07350,VNG1895H,348,1402357,1402704,protein_coding,hypothetical protein
WP_010903390.1,VNG_RS07355,VNG1896C,1800,1402807,1404606,protein_coding,ATP-binding protein
