Q9HHS0,Tubulin-like protein CetZ,VNG_6260G,cell division [GO:0051301]; regulation of cell shape [GO:0008360]
Q9HPA9,TRK potassium uptake system protein,VNG_1721G,
Q9HRG4,Uncharacterized protein,VNG_0711C,cell redox homeostasis [GO:0045454]
Q9HSJ0,Uncharacterized protein,VNG_0205H,
Q9HHJ0,Mrr restriction system protein homolog,VNG_6371G,DNA restriction-modification system [GO:0009307]
Q9HMZ8,Uncharacterized protein,VNG_2313H,
Q9HHJ2,Vng6368h,VNG_6368H,
Q9HI09,Vng6126h,VNG_6126H,
Q9HQT6,Uncharacterized protein,VNG_1012H,cell redox homeostasis [GO:0045454]
Q9HHR0,Vng6275h,VNG_6275H,
Q9HS67,Uncharacterized protein,VNG_0383H,
Q9HQ03,Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase),VNG_1389C,second-messenger-mediated signaling [GO:0019932]
Q9HNJ0,DNA polymerase bacteriophage-type,VNG_2082G,
Q9HQY4,Flagella accessory protein J,VNG_0947G,
Q9HNT9,Uncharacterized protein,VNG_1948H,
Q9HQC0,X-pro aminopeptidase homolog,VNG_1233G,
Q9HQ54,Uncharacterized protein,VNG_1323C,
Q9HRU5,Immunogenic protein,VNG_0540G,
Q9HQ39,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (6-hydroxymethyl-7,8-dihydropterin diphosphokinase) (6-HMPDK) (7,8-dihydro-6-hydroxymethylpterin diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase) (PPPK)",VNG_1343C,folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]
Q9HR38,Inosine-5'-monophosphate dehydrogenase-like,VNG_0878G,
Q9HQ79,Uncharacterized protein,VNG_1287C,
Q9HND0,Putative isopentenyl pyrophosphate isomerase,VNG_2153G,isoprenoid biosynthetic process [GO:0008299]
Q9HN49,Holliday junction resolvase Hjc (Hjc) (EC 3.1.22.4),VNG_2252G,DNA recombination [GO:0006310]; DNA repair [GO:0006281]
Q9HQN4,"1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)",VNG_1079G,menaquinone biosynthetic process [GO:0009234]
Q9HSL0,Uncharacterized protein,VNG_0179C,maturation of SSU-rRNA [GO:0030490]
Q9HP67,Uncharacterized protein,VNG_1781C,polyprenol biosynthetic process [GO:0016094]
Q9HSV5,Uncharacterized protein,VNG_0058H,
Q9HHG0,Vng6418h,VNG_6418H,
Q9HSM8,Oxalate/formate antiporter,VNG_0157G,transmembrane transport [GO:0055085]
Q9HS48,Uncharacterized protein,VNG_0407H,
Q9HMH8,Uncharacterized protein,VNG_2536C,cellular protein modification process [GO:0006464]
Q9HMB5,Uncharacterized protein,VNG_2619H,
Q9HNB2,DNA repair protein,VNG_2173G,
Q9HHI4,Vng6379c,VNG_6379C,
Q9HI11,Vng6117h,VNG_6117H,
Q9HI07,Vng6134h,VNG_6134H,
Q9HMD7,Uncharacterized protein,VNG_2593H,
Q9HQX0,Chemotaxis protein,VNG_0966G,
Q9HNS1,Uncharacterized protein,VNG_1973H,
Q9HN92,Uncharacterized protein,VNG_2197H,
Q9HQ28,Uncharacterized protein,VNG_1357C,
Q9HM72,Uncharacterized protein,VNG_2675C,
Q9HP22,Uncharacterized protein,VNG_1842H,
Q9HHU8,TRK potassium uptake system protein,VNG_6218G,
Q9HSZ9,Glucose-1-phosphate thymidylyltransferase,VNG_0008G,biosynthetic process [GO:0009058]
Q9HS57,Uncharacterized protein,VNG_0396C,
Q9HSH6,Serine proteinase,VNG_0226G,
Q9HS79,Arsenical pump-driving ATPase,VNG_0365G,
Q9HS35,L-isoaspartyl protein carboxyl methyltransferase,VNG_0425G,tRNA methylation [GO:0030488]
,,,
Q9HR90,Uncharacterized protein,VNG_0810H,
Q9HRF8,Uncharacterized protein,VNG_0719G,
Q9HMH1,Uncharacterized protein,VNG_2544H,
Q9HMH4,Uncharacterized protein,VNG_2539H,
Q9HPV5,Uncharacterized protein,VNG_1456H,
Q9HR84,Chitinase,VNG_0816G,carbohydrate metabolic process [GO:0005975]
Q9HQY8,Chemotaxis protein,VNG_0942G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HP89,Photolyase/cryptochrome,VNG_1754G,protein-chromophore linkage [GO:0018298]
Q9HQP3,Succinoglycan biosynthesis protein,VNG_1067G,
Q9HRT0,Uncharacterized protein,VNG_0560C,
Q9HQN7,Chloromuconate cycloisomerase,VNG_1074G,
Q9HNH9,Uncharacterized protein,VNG_2097C,
Q9HME6,Uncharacterized protein,VNG_2580C,nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]
Q9HND7,Uncharacterized protein,VNG_2146H,
Q9HSD7,Uncharacterized protein,VNG_0282H,
Q9HSN1,Uncharacterized protein,VNG_0153C,cell morphogenesis [GO:0000902]
Q9HPL9,Uncharacterized protein,VNG_1570H,cobalamin biosynthetic process [GO:0009236]
Q9HHU3,Vng6224h,VNG_6224H,
Q9HMA6,Uncharacterized protein,VNG_2631H,
Q9HP66,Uncharacterized protein,VNG_1782C,
Q9HPR4,Uncharacterized protein,VNG_1508C,rescue of stalled ribosome [GO:0072344]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]
Q9HQA8,ABC-type transport protein,VNG_1247G,
Q9HSW9,Neutral proteinase,VNG_0042G,
Q9HMT2,24-sterol C-methyltransferase,VNG_2398G,
Q9HMV5,Uncharacterized protein,VNG_2369C,
Q9HSK2,Uncharacterized protein,VNG_0189C,dGTP catabolic process [GO:0006203]
Q9HPD8,Phytoene dehydrogenase,VNG_1684G,carotenoid biosynthetic process [GO:0016117]
Q9HSC5,Uncharacterized protein,VNG_0300C,
Q9HSE8,Uncharacterized protein,VNG_0266H,
Q9HQN1,Sulfite oxidase homolog,VNG_1084G,nitrate assimilation [GO:0042128]
Q9HRJ1,Uncharacterized protein,VNG_0674C,
Q9HMK6,Uncharacterized protein,VNG_2501C,glutamine metabolic process [GO:0006541]
Q9HNC8,Uncharacterized protein,VNG_2155C,
Q9HPH3,Halocyanin-like,VNG_1637G,
Q9HQ10,Uncharacterized protein,VNG_1381H,
Q9HQ38,Dihydropteroate synthase,VNG_1344G,tetrahydrofolate biosynthetic process [GO:0046654]
Q9HQM8,Uncharacterized protein,VNG_1087C,
Q9HI01,Vng6148h,VNG_6148H,"transposition, DNA-mediated [GO:0006313]"
Q9HNH2,Uncharacterized protein,VNG_2105H,
Q9HNL1,DNA-directed RNA polymerase subunit E,VNG_2053G,"transcription, DNA-templated [GO:0006351]"
Q9HQA3,Uncharacterized protein,VNG_1253C,
Q9HST9,Uncharacterized protein,VNG_0077H,
Q9HN35,DNA-binding protein MutS2,VNG_2270G,mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]
Q9HI06,Vng6135c,VNG_6135C,DNA methylation [GO:0006306]
Q9HNY2,Uncharacterized protein,VNG_1894C,
Q9HMG6,Ferrichrome ABC transporter ATP-binding protein,VNG_2552G,
,,,
Q9HP62,Uncharacterized protein,VNG_1786H,
Q9HQF4,Membrane protein,VNG_1187G,
Q9HM93,Uncharacterized protein,VNG_2646C,formation of translation preinitiation complex [GO:0001731]; translation reinitiation [GO:0002188]
Q9HPW1,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",VNG_1450G,nucleotide catabolic process [GO:0009166]
Q9HMB4,Repair helicase,VNG_2620G,DNA repair [GO:0006281]; recombinational repair [GO:0000725]
Q9HHI9,Vng6372h,VNG_6372H,
Q9HP70,Heme biosynthesis protein,VNG_1776G,
Q9HQ70,Cysteine synthase,VNG_1301G,cysteine biosynthetic process from serine [GO:0006535]
Q9HHS4,Vng6254c,VNG_6254C,
Q9HSB2,Uncharacterized protein,VNG_0316C,
Q9HMZ7,Uncharacterized protein,VNG_2314H,
Q9HS34,DNA-directed RNA-polymerase subunit M,VNG_0426G,"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
Q9HHJ1,Vng6370h,VNG_6370H,
Q9HME2,Uncharacterized protein,VNG_2585H,
Q9HSE3,Uncharacterized protein,VNG_0272H,
Q9HT02,Uncharacterized protein,VNG_0003C,
Q9HI29,Vng6012h,VNG_6012H,
,,,
Q9HSH1,Uncharacterized protein,VNG_0233H,
Q9HRS9,Uncharacterized protein,VNG_0562C,
Q9HRG8,Uncharacterized protein,VNG_0705C,
Q9HR09,Transcriptional regulatory protein,VNG_0917G,phosphorelay signal transduction system [GO:0000160]
Q9HRL7,NADH dehydrogenase/oxidoreductase-like protein,VNG_0640G,aerobic respiration [GO:0009060]
Q9HRH0,Uncharacterized protein,VNG_0703H,
P82854,Thioredoxin,VNG_1259G,
Q9HQT5,Htr13 transducer,VNG_1013G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HN48,Uncharacterized protein,VNG_2253H,
Q9HMW5,ATP-dependent RNA helicase homolog eIF-4A,VNG_2356G,DNA repair [GO:0006281]
Q9HSV0,Glucose-1-phosphate thymidylyltransferase,VNG_0064G,biosynthetic process [GO:0009058]
Q9HS25,Uncharacterized protein,VNG_0437C,folic acid catabolic process [GO:0046657]
Q9HN11,Uncharacterized protein,VNG_2296C,
Q9HNY8,Uncharacterized protein,VNG_1886C,
Q9HHH1,Vng6402h,VNG_6402H,"regulation of transcription, DNA-templated [GO:0006355]"
,,,
Q9HPI2,Malate dehydrogenase,VNG_1624G,malate metabolic process [GO:0006108]
Q9HHW6,Vng6195h,VNG_6195H,
Q9HN12,Uncharacterized protein,VNG_2297H,
Q9HSU9,GDP-D-mannose dehydratase,VNG_0065G,
Q9HR85,Quinone oxidoreductase,VNG_0815G,
Q9HRJ4,Uncharacterized protein,VNG_0670H,
Q9HMH5,Isochorismatase,VNG_2537G,
Q9HS95,Chromosome partition protein Smc,VNG_0342G,chromosome condensation [GO:0030261]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]
Q9HRV4,Uncharacterized protein,VNG_0529H,
Q9HSZ4,Uncharacterized protein,VNG_0015H,
Q9HQP1,Uncharacterized protein,VNG_1069C,
Q9HNB6,Zinc metalloprotease,VNG_2168C,
Q9HQE2,Uncharacterized protein,VNG_1202C,
Q9HSU5,Uncharacterized protein,VNG_0069H,
Q9HMM3,Uncharacterized protein,VNG_2474C,
Q9HHF4,Vng6430c,VNG_6430C,
Q9HMD8,Uncharacterized protein,VNG_2591C,
Q9HSF2,Uncharacterized protein,VNG_0261H,
Q9HSK4,Uncharacterized protein,VNG_0187H,
Q9HNG4,Uncharacterized protein,VNG_2116C,adenine transport [GO:0015853]; guanine transport [GO:0015854]
Q9HPP4,Uncharacterized protein,VNG_1537C,dGTP catabolic process [GO:0006203]
Q9HRZ7,Uncharacterized protein,VNG_0472H,
Q9HS56,Endonuclease III,VNG_0398G,"base-excision repair, AP site formation [GO:0006285]"
Q9HQG5,PhoR protein homolog,VNG_1175G,
Q9HQF8,Uncharacterized protein,VNG_1182H,
Q9HQG1,Uncharacterized protein,VNG_1179C,
Q9HS60,Uncharacterized protein,VNG_0391C,peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]
Q9HI13,Vng6094h,VNG_6094H,
Q9HR20,Uncharacterized protein,VNG_0903C,
Q9HSK3,Uncharacterized protein,VNG_0188H,
Q9HNK4,Probable acetyl-coa acetyltransferase,VNG_2063G,fatty acid beta-oxidation [GO:0006635]
Q9HSB5,Uncharacterized protein,VNG_0312H,
Q9HQ07,Uncharacterized protein,VNG_1384H,
Q9HR12,Uncharacterized protein,VNG_0914H,
Q9HSN9,Uncharacterized protein,VNG_0144H,
Q9HRH3,Uncharacterized protein,VNG_0698H,
Q9HNK8,Uncharacterized protein,VNG_2059H,
Q9HSY0,Uncharacterized protein,VNG_0030H,
Q9HPT3,Serine acetyltransferase,VNG_1481G,cysteine biosynthetic process from serine [GO:0006535]
Q9HQE9,Uncharacterized protein,VNG_1193C,phosphorylation [GO:0016310]; signal transduction [GO:0007165]
Q9HMW0,Oligopeptide ABC transporter ATP-binding,VNG_2365G,peptide transport [GO:0015833]
Q9HN85,Phosphomannomutase,VNG_2206G,carbohydrate metabolic process [GO:0005975]
Q9HNC4,Mannose-1-phosphate guanylyltransferase,VNG_2159G,biosynthetic process [GO:0009058]
Q9HSF4,Uncharacterized protein,VNG_0258H,
Q9HQ66,Succinate dehydrogenase subunit A,VNG_1306G,anaerobic respiration [GO:0009061]
Q9HMU8,Copper transport ATP-binding protein,VNG_2378G,
Q9HN61,Uncharacterized protein,VNG_2238C,
Q9HMP5,Uncharacterized protein,VNG_2445C,
Q9HNJ4,Mismatch repair protein,VNG_2079G,
Q9HNQ5,Uncharacterized protein,VNG_1993H,
Q9HHR6,Adhesion protein,VNG_6265G,metal ion transport [GO:0030001]
Q9HRQ3,Uncharacterized protein,VNG_0594H,
Q9HRX6,3-isopropylmalate dehydratase,VNG_0500G,
Q9HPW9,Phosphoglycerate dehydrogenase,VNG_1437G,
Q9HHZ0,Vng6162h,VNG_6162H,
Q9HRS6,Uncharacterized protein,VNG_0564H,
Q9HNV2,Tubulin-like protein CetZ,VNG_1933G,cell division [GO:0051301]; microtubule-based process [GO:0007017]; regulation of cell shape [GO:0008360]
Q9HRR7,Uncharacterized protein,VNG_0576C,NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]
Q9HR08,Galactosyltransferase homolog,VNG_0919G,
Q9HMA0,Geranylgeranyl hydrogenase,VNG_2638G,oxidation-reduction process [GO:0055114]
Q9HMY7,Uncharacterized protein,VNG_2328H,
Q9HI05,Vng6142c,VNG_6142C,
Q9HN25,Uncharacterized protein,VNG_2282C,cell redox homeostasis [GO:0045454]
Q9HNT3,Uncharacterized protein,VNG_1956H,
Q9HN29,Uncharacterized protein,VNG_2277H,
Q9HMP6,Phosphoesterase (EC 3.1.4.-),VNG_2444C,
Q9HQB6,Uncharacterized protein,VNG_1237C,
Q9HR65,Uncharacterized protein,VNG_0840H,
Q9HQK9,Uncharacterized protein,VNG_1112H,
Q9HPX3,Uncharacterized protein,VNG_1431C,
Q9HS09,Phosphate regulatory protein homolog,VNG_0458G,
Q9HNI7,Possible phosphate binding protein,VNG_2086G,
Q9HPX8,Uncharacterized protein,VNG_1425H,
Q9HPQ7,Uncharacterized protein,VNG_1519H,
Q9HSM1,Hydrogenase expression/formation,VNG_0164G,
Q9HMK0,Uncharacterized protein,VNG_2509H,
Q9HNE8,Uncharacterized protein,VNG_2133H,
Q9HMI3,Dipeptide ABC transporter ATP-binding,VNG_2527G,
Q9HNB8,Uncharacterized protein,VNG_2166C,
Q9HPW8,Uncharacterized protein,VNG_1438H,
Q9HSG0,Uncharacterized protein,VNG_0250C,
Q9HQB4,Uncharacterized protein,VNG_1238C,
Q9HSI4,Uncharacterized protein,VNG_0215C,
Q9HMN6,Uncharacterized protein,VNG_2458C,
Q9HQI6,Mevalonate kinase (MK) (MVK) (EC 2.7.1.36),VNG_1145G,"galactose metabolic process [GO:0006012]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]"
Q9HPA2,Htr17 transducer,VNG_1733G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HQ11,Uncharacterized protein,VNG_1380H,
Q9HSW7,Uncharacterized protein,VNG_0044H,
Q9HSV9,Uncharacterized protein,VNG_0054H,
Q9HSR6,Uncharacterized protein,VNG_0110C,
Q9HPF4,Uncharacterized protein,VNG_1663C,
Q9HHM5,Vng6322h,VNG_6322H,
Q9HSC8,Uncharacterized protein,VNG_0296H,
Q9HSX9,Uncharacterized protein,VNG_0031H,
Q9HRX1,Uncharacterized protein,VNG_0505C,
Q9HS20,Starvation sensing protein,VNG_0442G,cellular amino acid catabolic process [GO:0009063]
Q9HQE5,Uncharacterized protein,VNG_1198C,oxidation-reduction process [GO:0055114]
Q9HSK6,Uncharacterized protein,VNG_0184H,
Q9HSK8,Lipoate protein ligase,VNG_0181G,cellular protein modification process [GO:0006464]
Q9HHM4,Vng6323h,VNG_6323H,
Q9HS40,Uncharacterized protein,VNG_0419C,
Q9HRC5,Uncharacterized protein,VNG_0759H,
Q9HP75,Uncharacterized protein,VNG_1771C,
Q9HPE5,Uncharacterized protein,VNG_1675H,
Q9HHN6,Vng6306c,VNG_6306C,
Q9HHG7,Vng6407h,VNG_6407H,
Q9HHK4,Vng6353h,VNG_6353H,
Q9HQV2,Uncharacterized protein,VNG_0992H,
Q9HP28,Monooxygenase,VNG_1834G,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]
Q9HRI0,Uncharacterized protein,VNG_0686C,
Q9HP35,Uncharacterized protein,VNG_1826H,
Q9HRM4,Uncharacterized protein,VNG_0631C,
Q9HRN6,Htr16 transducer,VNG_0614G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HRA1,Htr6 transducer,VNG_0793G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HMW4,Oligopeptide binding protein,VNG_2358G,
Q9HHK6,Vng6349c,VNG_6349C,
Q9HRV7,"ABC transporter, ATP-binding protein",VNG_0524G,
Q9HP77,Uncharacterized protein,VNG_1769C,riboflavin biosynthetic process [GO:0009231]
Q9HQZ8,3-ketoacyl-CoA thiolase,VNG_0931G,
Q9HQF0,Acyl-CoA dehydrogenase,VNG_1191G,
Q9HRB7,Uncharacterized protein,VNG_0768H,
Q9HPP8,Biotin carboxylase,VNG_1532G,
Q9HQ25,Uncharacterized protein,VNG_1362H,
Q9HRD1,UDP-glucose 4-epimerase,VNG_0752G,galactose catabolic process [GO:0019388]; galactose catabolic process via UDP-galactose [GO:0033499]
Q9HSC2,Uncharacterized protein,VNG_0306C,DNA repair [GO:0006281]
Q9HN41,Uncharacterized protein,VNG_2262H,
Q9HPQ3,Uncharacterized protein,VNG_1525C,
Q9HS74,Uncharacterized protein,VNG_0373H,
Q9HSR5,Uncharacterized protein,VNG_0113H,
Q9HQQ8,Uncharacterized protein,VNG_1050H,
Q9HR22,Ribose ABC transporter permease,VNG_0898G,
Q9HQB5,Uncharacterized protein,VNG_1239H,
Q9HSF1,Uncharacterized protein,VNG_0262C,
Q9HNZ7,"Isocitrate dehydrogenase, NADP",VNG_1873G,tricarboxylic acid cycle [GO:0006099]
Q9HSQ4,"Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)",VNG_0127C,folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]
Q9HQK2,Aminotransferase (EC 2.6.1.-),VNG_1121G,biosynthetic process [GO:0009058]
Q9HPY2,Uncharacterized protein,VNG_1418C,
Q9HHP4,Vng6296c,VNG_6296C,
Q9HRU4,Threonine synthase,VNG_0541G,
Q9HHS6,Phosphate transporter,VNG_6250G,phosphate ion transmembrane transport [GO:0035435]
Q9HQ94,8-oxoguanine DNA glycosylase,VNG_1266G,"base-excision repair, AP site formation [GO:0006285]"
Q9HN16,Uncharacterized protein,VNG_2292H,
Q9HR01,Uncharacterized protein,VNG_0927C,
Q9HSW8,Uncharacterized protein,VNG_0043H,"transposition, DNA-mediated [GO:0006313]"
Q9HP23,Uncharacterized protein,VNG_1838H,
Q9HSL3,Uncharacterized protein,VNG_0176H,
Q9HHH0,Vng6403h,VNG_6403H,
Q9HMP9,Helicase,VNG_2441G,nucleobase-containing compound metabolic process [GO:0006139]
,,,
Q9HMM2,tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase (EC 2.5.1.114) (tRNA wyosine derivatives biosynthesis protein Taw2),VNG_2475C,tRNA methylation [GO:0030488]; wybutosine biosynthetic process [GO:0031591]
Q9HMT1,Uncharacterized protein,VNG_2399H,
Q9HP09,Uncharacterized protein,VNG_1857C,
Q9HPI9,Uncharacterized protein,VNG_1618H,
Q9HNG8,tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS (tRNA(Ile2)-agm2C synthetase) (EC 6.3.4.22) (tRNA(Ile2) agmatidine synthetase),VNG_2110C,tRNA wobble cytosine modification [GO:0002101]
Q9HQS3,Uncharacterized protein,VNG_1029C,
Q9HSF0,Uncharacterized protein,VNG_0264H,
Q9HR51,Uncharacterized protein,VNG_0861H,
Q9HRF3,Uncharacterized protein,VNG_0726C,
Q9HQY7,Uncharacterized protein,VNG_0943C,
Q9HRZ9,Daunorubicin resistance ABC transporter ATP-binding protein,VNG_0470G,
F2Z681,Arginine deiminase,VNG_6317G,
Q9HQK4,Uncharacterized protein,VNG_1119H,
Q9HRC6,Uncharacterized protein,VNG_0758C,
Q9HS21,Uncharacterized protein,VNG_0441H,
Q9HHY5,Vng6168h,VNG_6168H,
Q9HRD8,Uncharacterized protein,VNG_0743H,
Q9HPR0,Uncharacterized protein,VNG_1514H,
Q9HMC1,RNase L inhibitor homolog,VNG_2612G,ribosomal subunit export from nucleus [GO:0000054]; translational initiation [GO:0006413]; translational termination [GO:0006415]
Q9HN54,Uncharacterized protein,VNG_2246H,
Q9HQA1,Riboflavin-specific deaminase,VNG_1256G,riboflavin biosynthetic process [GO:0009231]
Q9HSS2,Uncharacterized protein,VNG_0102C,dephosphorylation [GO:0016311]; DNA repair [GO:0006281]
Q9HQY0,Uncharacterized protein,VNG_0954C,archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]
Q9HMR5,Uncharacterized protein,VNG_2419C,
Q9HS99,Uncharacterized protein,VNG_0332C,biosynthetic process [GO:0009058]
Q9HNB9,Uncharacterized protein,VNG_2165H,
Q9HHH5,Vng6396h,VNG_6396H,rRNA catabolic process [GO:0016075]
Q9HRP6,Uncharacterized protein,VNG_0601H,
Q9HPU1,Cell division cycle protein,VNG_1472G,cell division [GO:0051301]
Q9HNK7,ATP-binding protein,VNG_2060G,
Q9HNY0,Uncharacterized protein,VNG_1896C,
Q9HPM6,Uncharacterized protein,VNG_1561C,
Q9HQW5,Chemotaxis protein,VNG_0976G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HNR5,Uncharacterized protein,VNG_1983H,
Q9HQI7,Uncharacterized protein,VNG_1144H,
Q9HMA3,Uncharacterized protein,VNG_2634H,
Q9HMD3,Uncharacterized protein,VNG_2597C,
Q9HMN3,Signal recognition particle receptor FtsY (SRP receptor),VNG_2462G,protein targeting [GO:0006605]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
Q9HPW2,Uncharacterized protein,VNG_1448H,
Q9HPD6,Uncharacterized protein,VNG_1687C,transmembrane transport [GO:0055085]
Q9HQA0,Uncharacterized protein,VNG_1257H,
Q9HNX0,Uncharacterized protein,VNG_1907H,
Q9HPK1,Uncharacterized protein,VNG_1598H,
Q9HMI1,Dipeptide ABC transporter permease,VNG_2531G,transmembrane transport [GO:0055085]
Q9HQA5,ATP-dependent helicase,VNG_1251G,
Q9HHY6,Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Putative toxin VapC),VNG_6166H,rRNA catabolic process [GO:0016075]
Q9HPU2,Uncharacterized protein,VNG_1471C,
Q9HR18,Uncharacterized protein,VNG_0906H,
Q9HMD0,Thioredoxin,VNG_2600G,cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662]
Q9HRC4,Competence-damage protein CinA-like,VNG_0761G,
Q9HS59,Uncharacterized protein,VNG_0393C,
Q9HSP7,Acetoin utilization protein,VNG_0136G,
Q9HSX2,Uncharacterized protein,VNG_0039H,
Q9HSR9,"Type I restriction modification enzyme, M subunit",VNG_0106G,DNA methylation [GO:0006306]
Q9HRR3,Uncharacterized protein,VNG_0582C,
Q9HQR8,Uncharacterized protein,VNG_1035C,
Q9HRA3,Uncharacterized protein,VNG_0789C,
Q9HRQ7,Uncharacterized protein,VNG_0590H,
Q9HNU1,Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III),VNG_1944C,'de novo' IMP biosynthetic process [GO:0006189]
Q9HN77,Pyruvate dehydrogenase alpha subunit,VNG_2217G,
Q9HPJ6,Chemotaxis protein,VNG_1607G,
Q9HQ55,Calcium-binding protein homology,VNG_1320G,
Q9HPE8,Uncharacterized protein,VNG_1670C,
Q9HRG3,Uncharacterized protein,VNG_0713C,
Q9HR57,Uncharacterized protein,VNG_0853C,
Q9HQS5,Uncharacterized protein,VNG_1026H,
Q9HPK3,Sulfate transport system permease protein,VNG_1592G,transmembrane transport [GO:0055085]
Q9HHX9,Vng6180h,VNG_6180H,
Q9HHP8,Vng6291h,VNG_6291H,
Q9HSI0,Uncharacterized protein,VNG_0219H,
Q9HPX5,Htr-like protein,VNG_1428G,
Q9HHL7,Vng6334h,VNG_6334H,
Q9HN76,Pyruvate dehydrogenase beta subunit,VNG_2218G,branched-chain amino acid catabolic process [GO:0009083]; response to nutrient [GO:0007584]
Q9HMA2,Excision nuclease chain A,VNG_2636G,nucleotide-excision repair [GO:0006289]
Q9HHP2,Vng6298c,VNG_6298C,ketone body catabolic process [GO:0046952]
Q9HSP0,Uncharacterized protein,VNG_0143H,
Q9HRQ2,Uncharacterized protein,VNG_0595H,
Q9HN89,Uncharacterized protein,VNG_2202H,
Q9HRQ5,Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase),VNG_0592G,"base-excision repair, AP site formation [GO:0006285]"
Q9HMR0,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),VNG_2424G,cellular amino acid metabolic process [GO:0006520]; L-serine biosynthetic process [GO:0006564]
Q9HNF1,Cell division inhibitor,VNG_2130G,cell division [GO:0051301]; negative regulation of cell division [GO:0051782]
Q9HQD9,Uncharacterized protein,VNG_1207C,
Q9HQE4,Uncharacterized protein,VNG_1200H,
Q9HN98,Uncharacterized protein,VNG_2189H,
Q9HQ14,Uncharacterized protein,VNG_1376H,
Q9HHZ1,Vng6160h,VNG_6160H,
Q9HPW3,Uncharacterized protein,VNG_1447H,
Q9HPH4,Putative cobalt transport protein CbiM (Energy-coupling factor transporter probable substrate-capture protein CbiM) (ECF transporter S component CbiM),VNG_1635G,cobalamin biosynthetic process [GO:0009236]; cobalt ion transport [GO:0006824]
Q9HRS1,Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein),VNG_0572G,coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]
Q9HQ50,Flavoprotein,VNG_1327G,
Q9HP74,3-phosphoglycerate kinase,VNG_1772G,dephosphorylation [GO:0016311]; DNA repair [GO:0006281]
Q9HRH5,Endonuclease III,VNG_0694G,
Q9HNW9,Uncharacterized protein,VNG_1910H,
Q9HHV5,Vng6209h,VNG_6209H,
Q9HN17,4-hydroxybutyrate CoA transferase,VNG_2291G,"acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]; propionate metabolic process, methylcitrate cycle [GO:0019679]"
Q9HNV5,Uncharacterized protein,VNG_1927H,
Q9HQH4,Uncharacterized protein,VNG_1162H,methionine biosynthetic process [GO:0009086]
Q9HHX7,Vng6182h,VNG_6182H,"transposition, DNA-mediated [GO:0006313]"
Q9HS97,Uncharacterized protein,VNG_0339H,
Q9HSW1,LPS biosynthesis,VNG_0051G,
Q9HMA8,Uncharacterized protein,VNG_2628H,iron-sulfur cluster assembly [GO:0016226]
Q9HNK6,Aaa superfamily atpase,VNG_2062G,
Q9HRK2,Uncharacterized protein,VNG_0660H,
,,,
Q9HMF9,Uncharacterized protein,VNG_2562H,
