"query","NOGs","COG_category","HMM_description"
"WP_010903284.1","0XNRY@NOG","N","HAMP domain"
"WP_010903285.1","COG1732@NOG","E","Substrate binding domain of ABC-type glycine betaine transport system"
"WP_010903286.1","COG5524@NOG","S","rhodopsin"
"WP_010903287.1","0XNRY@NOG","N","HAMP domain"
"WP_010903288.1","COG0327@NOG","S","NIF3 (NGG1p interacting factor 3)"
"WP_010903289.1","COG0010@NOG","E","agmatinase (EC 3.5.3.11)"
"WP_010903290.1","COG0231@NOG","J","Functions by promoting the formation of the first peptide bond (By similarity)"
"WP_010903293.1","COG0071@NOG","O","heat shock protein Hsp20"
"WP_010903294.1","COG0546@NOG","S","Haloacid dehalogenase domain protein hydrolase"
"WP_010903295.1","COG2154@NOG","H","dehydratase"
"WP_010903296.1","COG0373@NOG","H","Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)"
"WP_010903297.1","COG1648@NOG","H","Siroheme synthase"
"WP_010903298.1","COG1522@NOG","K","heme biosynthesis protein"
"WP_010903299.1","0YIM9@NOG",NA,NA
"WP_010903300.1","COG0020@NOG","I","Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with geranylgeranyl diphosphate (GGPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30E,34E,38E)-undecaprenyl diphosphate (tritrans,heptacis-UPP). It is probably the precursor of glycosyl carrier lipids (By similarity)"
"WP_010903304.1","0Z2M0@NOG","S","Protein of unknown function (DUF3311)"
"WP_010903305.1","COG0591@NOG","E","Na solute symporter"
"WP_010903306.1","COG1695@NOG","K","Transcriptional regulator"
"WP_010903307.1","111SW@NOG",NA,NA
"WP_010903309.1","COG1416@NOG","S","DsrE/DsrF-like family"
"WP_010903310.1","COG4347@NOG","S","Protein of unknown function (DUF1405)"
"WP_010903311.1","COG0214@NOG","H","Involved in the production of pyridoxal phosphate, probably by incorporating ammonia into the pyridine ring (By similarity)"
"WP_010903312.1","COG1525@NOG","L","nuclease-like protein"
"WP_010903313.1","COG0083@NOG","E","Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate (By similarity)"
"WP_010903314.1","COG1232@NOG","Q","amine oxidase"
"WP_010903316.1","0YDM6@NOG",NA,NA
"WP_010903317.1","110BH@NOG",NA,NA
"WP_010903318.1","COG0071@NOG","O","Hsp20/alpha crystallin family"
"WP_010903319.1","111N6@NOG",NA,NA
"WP_010903320.1","COG0446@NOG","S","FAD-dependent pyridine nucleotide-disulfide oxidoreductase"
"WP_010903321.1","1117E@NOG",NA,NA
"WP_010903322.1","0YH5R@NOG",NA,NA
"WP_010903323.1","0YHHZ@NOG",NA,NA
"WP_010903324.1","COG2312@NOG","S","Erythromycin esterase"
"WP_010903325.1","COG0458@NOG","E","Carbamoyl-phosphate synthetase ammonia chain"
"WP_010903326.1","COG0505@NOG","E","Carbamoyl-phosphate synthetase glutamine chain"
"WP_010903327.1","COG1522@NOG","K","regulator"
"WP_010903329.1","COG1310@NOG","S","Mov34 MPN PAD-1 family protein"
"WP_010903330.1","0Z43T@NOG",NA,NA
"WP_010903331.1","COG0604@NOG","C","Alcohol dehydrogenase zinc-binding domain protein"
"WP_010903332.1","COG0521@NOG","H","molybdenum cofactor"
"WP_010903333.1","COG0212@NOG","H","5-formyltetrahydrofolate cyclo-ligase"
"WP_010903335.1","0YWB6@NOG","P","CTP GMP synthase operon protein"
"WP_010903336.1","COG0519@NOG","F","Catalyzes the synthesis of GMP from XMP (By similarity)"
"WP_010903337.1","COG0504@NOG","F","Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)"
"WP_010903340.1","COG2945@NOG","S","Inherit from COG: alpha, beta"
"WP_010903341.1","COG1225@NOG","O","Redoxin"
"WP_010903343.1","COG1278@NOG","K","cold-shock DNA-binding domain protein"
"WP_010903344.1","COG4948@NOG","M","mandelate racemase muconate lactonizing"
"WP_010903345.1","COG3367@NOG","S","Protein of unknown function (DUF1611)"
"WP_010903348.1","COG1777@NOG","K","family transcriptional regulator"
"WP_010903349.1","COG0252@NOG","E","Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). The GatDE system is specific for glutamate and does not act on aspartate (By similarity)"
"WP_010903351.1","COG0584@NOG","C","glycerophosphoryl diester phosphodiesterase"
"WP_010903355.1","COG2820@NOG","F","phosphorylase"
"WP_010903356.1","COG0524@NOG","G","sugar kinase"
"WP_010903358.1","COG1184@NOG","J","translation initiation factor IF-2B subunit delta"
"WP_010903360.1","COG0683@NOG","E","system periplasmic substrate-binding protein"
"WP_010903361.1","COG0274@NOG","F","Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate (By similarity)"
"WP_010903362.1","COG0621@NOG","J","MiaB-like tRNA modifying enzyme"
"WP_010903363.1","COG0053@NOG","P","cation diffusion facilitator family transporter"
"WP_010903364.1","COG0537@NOG","F","histidine triad"
"WP_010903365.1","0ZF5H@NOG",NA,NA
"WP_010903366.1","COG0024@NOG","J","Removes the N-terminal methionine from nascent proteins (By similarity)"
"WP_010903367.1","COG1177@NOG","E","spermidine putrescine ABC transporter permease"
"WP_010903368.1","COG1176@NOG","E","spermidine putrescine ABC transporter permease"
"WP_010903369.1","COG0687@NOG","E","Inherit from arCOG: Extracellular solute-binding protein family 1"
"WP_010903370.1","COG3842@NOG","E","Spermidine putrescine ABC transporter"
"WP_010903371.1","COG1446@NOG","E","asparaginase"
"WP_010903372.1","COG0538@NOG","C","Isocitrate dehydrogenase"
"WP_010903373.1","COG1989@NOG","N","Inherit from arCOG: peptidase"
"WP_010903374.1","COG1257@NOG","I","3-hydroxy-3-methylglutaryl coenzyme A reductase"
"WP_010903375.1","COG0011@NOG","S","Domain of unknown function DUF77"
"WP_010903376.1","COG4143@NOG","H","ABC transporter, periplasmic binding protein, thiB subfamily"
"WP_010903377.1","COG1574@NOG","S","amidohydrolase"
"WP_010903379.1","COG0029@NOG","H","L-aspartate oxidase"
"WP_010903380.1","COG0157@NOG","H","nicotinate-nucleotide pyrophosphorylase (EC 2.4.2.19)"
"WP_010903381.1","COG1378@NOG","K","transcriptional regulator, TrmB"
"WP_010903382.1","COG2076@NOG","P","quaternary ammonium compound-resistance protein"
"WP_010903383.1","COG0696@NOG","G","Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)"
"WP_010903384.1","110WA@NOG","S","Inherit from COG: Dinitrogenase iron-molybdenum cofactor biosynthesis protein"
"WP_010903386.1","101KW@NOG","L","NurA domain"
"WP_010903387.1","COG1131@NOG","V","ABC transporter"
"WP_010903388.1","111CX@NOG",NA,NA
"WP_010903389.1","0YPH1@NOG",NA,NA
"WP_010903390.1","COG0433@NOG","L","Domain of unknown function DUF87"
"WP_010903393.1","COG0061@NOG","H","Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)"
"WP_010903394.1","COG1469@NOG","H","Converts GTP to 7,8-dihydro-D-neopterin 2',3'-cyclic phosphate, the first intermediate in the biosynthesis of coenzyme methanopterin (By similarity)"
"WP_010903396.1","COG1378@NOG","K","Transcriptional regulator"
"WP_010903398.1","COG1331@NOG","O","Pfam:DUF255"
"WP_010903399.1","COG3030@NOG","S","FxsA cytoplasmic membrane protein"
"WP_010903400.1","0XY5V@NOG",NA,NA
"WP_010903401.1","0Z2K6@NOG",NA,NA
"WP_010903402.1","COG1522@NOG","K","family transcriptional regulator"
"WP_010903403.1","COG0547@NOG","E","anthranilate phosphoribosyltransferase (EC 2.4.2.18)"
"WP_010903405.1","10ZY9@NOG",NA,NA
"WP_010903406.1","COG4538@NOG","S","Steroid delta-isomerase domain-containing protein"
"WP_010903407.1","COG1646@NOG","S","Prenyltransferase that catalyzes the transfer of the geranylgeranyl moiety of geranylgeranyl diphosphate (GGPP) to the C3 hydroxyl of sn-glycerol-1-phosphate (G1P). This reaction is the first ether-bond-formation step in the biosynthesis of archaeal membrane lipids (By similarity)"
"WP_010903408.1","COG0239@NOG","D","Protein CrcB homolog"
"WP_010903409.1","COG0239@NOG","D","Protein CrcB homolog"
"WP_010903410.1","0YNM2@NOG",NA,NA
"WP_010903411.1","COG1522@NOG","K","regulator"
"WP_010903415.1","0YYRB@NOG",NA,NA
"WP_010903416.1","COG0125@NOG","F","thymidylate kinase (EC 2.7.4.9)"
"WP_010903417.1","COG0702@NOG","M","NAD-dependent epimerase dehydratase"
"WP_010903419.1","0YP5Q@NOG",NA,NA
"WP_010903420.1","COG1920@NOG","H","Guanylyltransferase that catalyzes the activation of 2- phospho-L-lactate (LP) as (2S)-lactyl-2-diphospho-5'-guanosine (LPPG), via the condensation of LP with GTP. Is involved in the biosynthesis of coenzyme F420, a hydride carrier cofactor (By similarity)"
"WP_010903422.1","COG1060@NOG","H","fo synthase subunit 2"
"WP_010903425.1","COG1244@NOG","S","Radical SAM domain protein"
"WP_010903426.1","110HB@NOG",NA,NA
"WP_010903428.1","COG0047@NOG","F","Phosphoribosylformylglycinamidine synthase I"
"WP_010903429.1","COG1828@NOG","F","Phosphoribosylformylglycinamidine synthase, PurS"
"WP_010903430.1","COG0788@NOG","F","Formyl transferase domain protein"
"WP_010903431.1","0YM5U@NOG",NA,NA
"WP_010903432.1","COG0517@NOG","S","CBS"
"WP_010903433.1","COG1404@NOG","O","S53 subtilisin kexin sedolisin"
"WP_010903434.1","0XX9V@NOG","S","adhesin-like protein"
"WP_010903435.1","0YAP2@NOG","M","peptidase S8 and S53, subtilisin, kexin, sedolisin"
"WP_010903436.1","COG1349@NOG","K","Inherit from arCOG: Phage PhiH1 repressor protein"
"WP_010903438.1","COG1549@NOG","J","tRNA-guanine transglycosylase, various specificities"
"WP_010903439.1","COG0343@NOG","J","Exchanges the guanine residue with 7-cyano-7- deazaguanine (preQ0) at position 15 in the dihydrouridine loop (D- loop) of archaeal tRNAs (By similarity)"
"WP_010903441.1","COG0494@NOG","F","NUDIX hydrolase"
"WP_010903443.1","COG0645@NOG","P","Chromatin associated protein KTI12"
"WP_010903444.1","0XWSR@NOG","L","Cell division control protein"
"WP_010903445.1","11S3W@NOG","S","Inherit from NOG: Membrane"
"WP_010903446.1","COG0554@NOG","C","Key enzyme in the regulation of glycerol uptake and metabolism (By similarity)"
"WP_010903447.1","COG0578@NOG","C","Glycerol-3-phosphate dehydrogenase"
"WP_010903448.1","COG3075@NOG","C","Anaerobic glycerol-3-phosphate dehydrogenase subunit B"
"WP_010903449.1","COG0247@NOG","C","sn-glycerol-3-phosphate dehydrogenase subunit C"
"WP_010903450.1","COG3540@NOG","P","Inherit from COG: alkaline phosphatase"
"WP_010903451.1","COG3430@NOG","S","Inherit from arCOG: Protein of unknown function (DUF1628)"
"WP_010903452.1","COG1349@NOG","K","Inherit from arCOG: Phage PhiH1 repressor protein"
"WP_010903453.1","COG2865@NOG","K","Transcriptional regulator"
"WP_010903455.1","COG1901@NOG","J","Specifically catalyzes the N1-methylation of pseudouridine at position 54 (Psi54) in tRNAs (By similarity)"
"WP_010903457.1","COG1258@NOG","J","Responsible for synthesis of pseudouridine from uracil- 54 and uracil-55 in the psi GC loop of transfer RNAs (By similarity)"
"WP_010903458.1","COG0164@NOG","L","Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)"
"WP_010903459.1","COG1757@NOG","C","Na H antiporter"
"WP_010903460.1","COG1637@NOG","L","Cleaves both 3' and 5' ssDNA extremities of branched DNA structures (By similarity)"
"WP_010903461.1","COG0342@NOG","U","Involved in protein export (By similarity)"
"WP_010903462.1","COG0341@NOG","U","Involved in protein export (By similarity)"
"WP_010903463.1","0YIVX@NOG",NA,NA
"WP_010903464.1","0YMH3@NOG",NA,NA
"WP_010903465.1","COG0166@NOG","G","Phosphohexose isomerase"
"WP_010903466.1","COG1266@NOG","S","Abortive infection protein"
"WP_010903468.1","COG1873@NOG","S","PRC-barrel domain protein"
"WP_010903469.1","COG0532@NOG","J","Function in general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes. Seems to function along with eIF-2 (By similarity)"
"WP_010903470.1","0YP34@NOG",NA,NA
"WP_010903471.1","COG1945@NOG","E","Pyruvoyl-dependent arginine decarboxylase"
"WP_010903472.1","COG1222@NOG","O","ATPase which is responsible for recognizing, binding, unfolding and translocation of substrate proteins into the archaeal 20S proteasome core particle. Is essential for opening the gate of the 20S proteasome via an interaction with its C- terminus, thereby allowing substrate entry and access to the site of proteolysis. Thus, the C-termini of the proteasomal ATPase function like a 'key in a lock' to induce gate opening and therefore regulate proteolysis. Unfolding activity requires energy from ATP hydrolysis, whereas ATP binding alone promotes ATPase-20S proteasome association which triggers gate opening, and supports translocation of unfolded substrates (By similarity)"
"WP_010903474.1","COG2234@NOG","S","Peptidase M28"
"WP_010903475.1","COG0101@NOG","J","Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)"
"WP_010903476.1","COG0124@NOG","J","histidyl-tRNA synthetase (EC 6.1.1.21)"
"WP_010903477.1","COG2117@NOG","J","Inherit from eurNOG: Subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase"
"WP_010903478.1","COG2118@NOG","S","DNA-binding protein"
"WP_010903479.1","COG2238@NOG","J","May be involved in maturation of the 30S ribosomal subunit (By similarity)"
"WP_010903480.1","COG0611@NOG","H","Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1 (By similarity)"
"WP_010903481.1","COG0750@NOG","M","Peptidase M50"
"WP_010903482.1","11W55@NOG",NA,NA
"WP_010903483.1","COG0528@NOG","F","Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)"
"WP_010903484.1","COG1384@NOG","J","lysyl-tRNA synthetase"
"WP_010903485.1","COG0750@NOG","M","Peptidase M50"
"WP_010903486.1","COG1695@NOG","K","Transcriptional regulator"
"WP_010903487.1","COG2329@NOG COG3253@NOG","S","chlorite dismutase"
"WP_010903488.1","COG0667@NOG","C","Aldo keto reductase"
"WP_010903490.1","COG0110@NOG","S","transferase hexapeptide repeat containing protein"
"WP_010903491.1","0ZZTP@NOG","L","Inherit from NOG: Transposase"
"WP_010903493.1","0YU82@NOG",NA,NA
"WP_010903494.1","COG0171@NOG","H","nh(3)-dependent NAD( ) synthetase"
"WP_010903495.1","COG1024@NOG","I","enoyl-CoA hydratase"
"WP_010903497.1","110XW@NOG",NA,NA
"WP_010903498.1","COG0784@NOG","T","response regulator receiver protein"
"WP_010903499.1","COG0642@NOG","T","Histidine kinase"
"WP_010903500.1","111D9@NOG",NA,NA
"WP_010903503.1","COG0127@NOG","F","Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)"
"WP_010903504.1","0YY6D@NOG",NA,NA
"WP_010903505.1","COG0533@NOG COG3642@NOG","T","Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)"
"WP_010903506.1","COG1998@NOG","J","30S ribosomal protein S27ae"
"WP_010903507.1","COG2004@NOG","J","30S ribosomal protein S24e"
"WP_010903509.1","COG2093@NOG","K","DNA-directed RNA polymerase, subunit E"
"WP_010903510.1","COG1095@NOG","K","DNA-directed RNA polymerase, subunit e'"
"WP_010903511.1","COG1412@NOG","V","rpo operon protein"
"WP_010903512.1","COG5257@NOG","J","eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA (By similarity)"
"WP_010903514.1","COG1235@NOG","S","ATP-binding protein"
"WP_010903516.1","COG4745@NOG","O","Mannosyltransferase"
"WP_010903518.1","COG0463@NOG","M","Dolichol-P-glucose transferase"
"WP_010903519.1","COG2246@NOG","S","GtrA family"
"WP_010903521.1","COG1022@NOG","I","AMP-dependent synthetase and ligase"
"WP_010903522.1","COG0491@NOG","S","beta-lactamase domain protein"
"WP_010903523.1","COG0172@NOG","J","Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)"
"WP_010903524.1","COG3631@NOG","S","Inherit from COG: ketosteroid isomerase-like protein"
"WP_010903526.1","COG1552@NOG","J","50S ribosomal protein L40e"
"WP_010903528.1","COG1670@NOG","K","acetyltransferase"
"WP_010903529.1","COG0491@NOG","S","beta-lactamase domain protein"
"WP_010903530.1","0Z4KW@NOG",NA,NA
"WP_010903531.1","COG1628@NOG","L","UPF0215 protein"
"WP_010903532.1","COG1573@NOG","L","Phage SPO1 DNA polymerase-related protein"
"WP_010903533.1","COG3639@NOG","P","Phosphonate ABC transporter permease"
"WP_010903534.1","COG3638@NOG","P","Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system (By similarity)"
"WP_010903535.1","COG3221@NOG","P","substrate-binding protein"
"WP_010903536.1","COG0118@NOG","E","IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)"
"WP_010903537.1","COG1867@NOG","J","Dimethylates a single guanine residue at position 26 of a number of tRNAs using S-adenosyl-L-methionine as donor of the methyl groups (By similarity)"
"WP_010903538.1","COG1295@NOG","L","ribonuclease BN"
"WP_010903540.1","COG0174@NOG","E","glutamine synthetase"
"WP_010903541.1","COG1522@NOG","K","AsnC family transcriptional regulator"
"WP_010903542.1","COG0459@NOG","O","thermosome"
"WP_010903543.1","COG2311@NOG","S","Protein of unknown function (DUF418)"
"WP_010903544.1","110KD@NOG",NA,NA
"WP_010903545.1","COG0251@NOG","J","endoribonuclease L-PSP"
"WP_010903546.1","COG1171@NOG","E","Threonine dehydratase"
"WP_010903547.1","111BA@NOG","G","Inherit from COG: glucosylceramidase activity"
"WP_010903548.1","COG0372@NOG","C","citrate synthase"
"WP_010903549.1","COG3273@NOG","P","TrkA-C domain protein"
"WP_010903550.1","0YTVU@NOG",NA,NA
"WP_010903551.1","COG3608@NOG","S","succinylglutamate desuccinylase aspartoacylase"
"WP_010903552.1","COG0498@NOG","E","Threonine synthase"
"WP_010903553.1","110X5@NOG",NA,NA
"WP_010903554.1","COG1571@NOG","S","ATP-dependent agmatine transferase that catalyzes the formation of 2-agmatinylcytidine (agm2C) at the wobble position (C34) of tRNA(Ile2), converting the codon specificity from AUG to AUA (By similarity)"
"WP_010903557.1","COG0695@NOG","O","Glutaredoxin"
"WP_010903558.1","COG2252@NOG","F","Xanthine uracil vitamin C permease"
"WP_010903559.1","COG0503@NOG","F","Adenine phosphoribosyltransferase"
"WP_010903560.1","COG0461@NOG","F","Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP) (By similarity)"
"WP_010903562.1","COG0506@NOG","E","Proline dehydrogenase"
"WP_010903563.1","COG2928@NOG","S","Protein of unknown function (DUF502)"
"WP_010903564.1","COG0115@NOG","E","Branched-chain amino acid aminotransferase"
"WP_010903565.1","COG1757@NOG","C","Na H antiporter"
"WP_010903566.1","COG1757@NOG","C","Na H antiporter"
"WP_010903567.1","COG0108@NOG","H","3,4-dihydroxy-2-butanone 4-phosphate synthase"
"WP_010903569.1","COG0731@NOG","C","Wyosine base formation domain protein"
"WP_010903571.1","COG0455@NOG","D","Cell division ATPase MinD"
"WP_010903573.1","COG0633@NOG COG2214@NOG","C","Ferredoxin"
"WP_010903574.1","0YZXJ@NOG",NA,NA
"WP_010903575.1","COG1394@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"
"WP_010903578.1","COG1156@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal beta chain is a regulatory subunit (By similarity)"
"WP_010903579.1","COG1155@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal alpha chain is a catalytic subunit (By similarity)"
"WP_010903580.1","COG1436@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"
"WP_010903581.1","COG1527@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"
"WP_010903582.1","COG1390@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"
"WP_010903584.1","COG1269@NOG","C","V-type ATPase 116 kDa subunit"
"WP_010903585.1","COG2811@NOG","C","ATP synthase subunit H"
"WP_010903587.1","0YIVH@NOG",NA,NA
"WP_010903588.1","120ZV@NOG","K","Inherit from NOG: domain protein"
"WP_010903589.1","COG2086@NOG","C","Electron transfer flavoprotein"
"WP_010903590.1","COG2025@NOG","C","Electron transfer flavoprotein subunit alpha"
"WP_010903591.1","COG1881@NOG","S","Phosphatidylethanolamine-binding protein"
"WP_010903592.1","COG0142@NOG","H","Polyprenyl synthetase"
"WP_010903593.1","COG2237@NOG","S","Domain of unknown function (DUF373)"
"WP_010903597.1","COG1028@NOG","I","Short-chain dehydrogenase reductase SDR"
"WP_010903598.1","COG0836@NOG","M","Mannose-1-phosphate guanylyltransferase"
"WP_010903600.1","COG3390@NOG","S","Inherit from COG: nucleic acid binding OB-fold tRNA helicase-type"
"WP_010903601.1","0YNDV@NOG","K","copG family"
"WP_010903603.1","COG3595@NOG",NA,NA
"WP_010903604.1","COG3268@NOG","S","Saccharopine dehydrogenase"
"WP_010903605.1","COG1112@NOG","L","AAA"
"WP_010903606.1","COG0517@NOG COG1994@NOG","S","Peptidase M50"
"WP_010903607.1","COG1454@NOG","C","alcohol dehydrogenase"
"WP_010903609.1","COG3173@NOG","S","Aminoglycoside phosphotransferase"
"WP_010903614.1","0ZHP4@NOG","K","Phage PhiH1 repressor protein"
"WP_010903615.1","COG3430@NOG","S","flagellin domain protein"
"WP_010903618.1","0YR2A@NOG",NA,NA
"WP_010903619.1","0YWYP@NOG",NA,NA
"WP_010903620.1","COG1405@NOG","K","Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)"
"WP_010903621.1","0YQM5@NOG",NA,NA
"WP_010903622.1","COG0537@NOG","F","histidine triad"
"WP_010903623.1","0ZHHG@NOG",NA,NA
"WP_010903625.1","COG0060@NOG","J","amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)"
"WP_010903626.1","0ZGH9@NOG","P","Inherit from NOG: Blue (Type1) copper domain-containing protein"
"WP_010903627.1","COG0843@NOG","C","cytochrome c oxidase, subunit I"
"WP_010903629.1","COG3794@NOG","C","Halocyanin"
"WP_010903632.1","COG2217@NOG","P","heavy metal translocating P-type ATPase"
"WP_010903634.1","COG0462@NOG","F","ribose-phosphate pyrophosphokinase (EC 2.7.6.1)"
"WP_010903635.1","0YN5X@NOG",NA,NA
"WP_010903637.1","COG1109@NOG","G","phosphoglucosamine mutase (EC 5.4.2.10)"
"WP_010903638.1","0YACE@NOG","P","Inherit from COG: denitrification pathway"
"WP_010903639.1","COG0180@NOG","J","tryptophanyl-tRNA synthetase (EC 6.1.1.2)"
"WP_010903640.1","COG1676@NOG","J","Endonuclease that removes tRNA introns. Cleaves pre-tRNA at the 5' and 3' splice sites to release the intron. The products are an intron and two tRNA half-molecules bearing 2',3' cyclic phosphate and 5'-OH termini. Recognizes a pseudosymmetric substrate in which 2 bulged loops of 3 bases are separated by a stem of 4 bp (By similarity)"
"WP_010903641.1","COG0551@NOG","L","DNA topoisomerase type IA zn finger domain protein"
"WP_010903642.1","COG1204@NOG","L","DEAD DEAH box helicase"
"WP_010903643.1","COG0534@NOG","V","MATE efflux family protein"
"WP_010903644.1","COG0320@NOG","H","Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)"
"WP_010903645.1","COG1071@NOG","C","e1 component subunit alpha"
"WP_010903647.1","COG0508@NOG","C","branched-chain alpha-keto acid dehydrogenase subunit E2"
"WP_010903648.1","COG1249@NOG","C","dihydrolipoamide dehydrogenase"
"WP_010903649.1","COG0077@NOG","E","Prephenate dehydratase (EC 4.2.1.51)"
"WP_010903650.1","COG0495@NOG","J","Leucyl-tRNA synthetase"
"WP_010903653.1","COG1094@NOG","S","RNA-processing protein"
"WP_010903654.1","0YQEF@NOG","S","Transcriptional regulator"
"WP_010903655.1","COG0477@NOG","G","Pfam:DUF894"
"WP_010903656.1","COG0180@NOG","J","Tryptophanyl-tRNA synthetase"
"WP_010903658.1","COG0361@NOG","J","Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits (By similarity)"
"WP_010903660.1","COG0162@NOG","J","Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)"
"WP_010903661.1","COG2433@NOG","S","Protein of unknown function (DUF460)"
"WP_010903662.1","COG1234@NOG","S","Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA (By similarity)"
"WP_010903663.1","COG0470@NOG","L","Replication factor C small subunit 2"
"WP_010903666.1","COG2101@NOG","K","General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)"
"WP_010903667.1","0Z38I@NOG",NA,NA
"WP_010903669.1","COG0040@NOG","E","Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)"
"WP_010903670.1","1119E@NOG",NA,NA
"WP_010903671.1","COG0402@NOG","F","Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine (By similarity)"
"WP_010903672.1","COG0499@NOG","H","May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine (By similarity)"
"WP_010903673.1","COG1591@NOG","L","holliday junction resolvase"
"WP_010903674.1","111GQ@NOG",NA,NA
"WP_010903675.1","COG2219@NOG","L","DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity)"
"WP_010903677.1","COG0592@NOG","L","Sliding clamp subunit. Responsible for tethering the catalytic subunit of DNA polymerase to DNA during high-speed replication (By similarity)"
"WP_010903678.1","COG0530@NOG","P","Sodium calcium exchanger membrane"
"WP_010903679.1","COG1892@NOG","G","Catalyzes the irreversible beta-carboxylation of phosphoenolpyruvate (PEP) to form oxaloacetate (OAA), a four- carbon dicarboxylic acid source for the tricarboxylic acid cycle (By similarity)"
"WP_010903680.1","110Y2@NOG",NA,NA
"WP_010903681.1","110TS@NOG","V","Inherit from COG: type I restriction enzyme"
