locus_tag,cluster,acc,COG_category,probability,HMM_description,NOGs
YJR028W,induced,NP_012563.1,K,0.9998779793190825,"Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity)",COG2801@NOG
YJR041C,induced,NP_012575.3,S,0.00725198931733243,Urb2/Npa2 family,0Y7NS@NOG
YJR048W,repressed,NP_012582.1,C,0.9953301413152312,"Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain",COG3474@NOG
YJR063W,induced,NP_012597.1,K,0.9998779793190825,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity),COG1594@NOG
YJR070C,induced,NP_012604.1,C,5.613709551068091e-19,"Catalyzes the hydroxylation of the N(6)-(4-aminobutyl)- L-lysine intermediate to form hypusine, an essential post- translational modification only found in mature eIF-5A factor (By similarity)",COG1413@NOG
YJR071W,induced,NA,S,0.00725198931733243,Function unknown,NA
YJR073C,repressed,NP_012607.1,I,0.8468598308460155,Phospholipid methyltransferase,11HY0@NOG
YJR095W,repressed,NP_012629.1,C,0.9953301413152312,Mitochondrial carrier protein,0YAYP@NOG
YJR096W,repressed,NP_012630.1,S,0.9998184782267798,Aldo/keto reductase family,COG0656@NOG
YJR109C,induced,NP_012643.3,F,0.4153807069687917,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,COG0458@NOG
YJR123W,induced,NP_012657.1,J,NA,Ribosomal protein S5,COG0049@NOG
YJR143C,induced,NP_012677.1,O,0.1672306973643994,MIR domain,COG1928@NOG
YJR145C,induced,NA,S,0.00725198931733243,Function unknown,NA
YJR150C,induced,NP_012684.4,O,0.1672306973643994,Member of the seripauperin multigene family encoded mainly in subtelomeric regions,0YXX3@NOG
YJR152W,repressed,NP_012686.3,G,0.9563292098449211,Major Facilitator Superfamily,0XR77@NOG
YJR155W,repressed,NP_012689.1,C,0.9953301413152312,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",COG0667@NOG
YKL006W,induced,NA,S,0.00725198931733243,Function unknown,NA
YKL009W,induced,NP_012916.1,A,0.9999981037358701,mRNA turnover protein MRT4,COG0244@NOG
YKL026C,repressed,NP_012899.3,O,0.9699133011869505,glutathione peroxidase,COG0386@NOG
YKL029C,induced,NP_012896.1,C,5.613709551068091e-19,malic enzyme,COG0281@NOG
YKL035W,repressed,NP_012889.3,G,0.9563292098449211,UTP--glucose-1-phosphate uridylyltransferase,COG4284@NOG
YKL036C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YKL050C,repressed,NP_012874.1,S,0.9998184782267798,"Required for normal formation of eisosomes, large cytoplasmic protein assemblies that localize to specialized domains on plasma membrane and mark the site of endocytosis (By similarity)",12BXP@NOG
YKL056C,induced,NP_012867.1,"D, Z",NA,Involved in protein synthesis. Involved in microtubule stabilization,11FVP@NOG
YKL062W,repressed,NP_012861.1,K,0.9998363375969888,"Positive transcriptional factor that acts as a component of the stress responsive system. Recognizes and binds to the stress response element (STRE) which is involved in the response to various forms of stress (heat, oxidative, osmotic, etc.). Involved in the regulation of the CTT1, DDR2, HSP12 genes",COG5048@NOG
YKL071W,repressed,NP_012852.1,Q,0.6645270543229664,KR domain,11VKY@NOG
YKL078W,induced,NP_012845.1,A,0.9999981037358701,ATP-dependent RNA helicase,COG1643@NOG
YKL081W,induced,NA,S,0.00725198931733243,Function unknown,NA
YKL082C,induced,NP_012841.1,S,0.00725198931733243,Surfeit locus protein 6,11G0Y@NOG
YKL085W,repressed,NP_012838.1,C,0.9953301413152312,Malate dehydrogenase,COG0039@NOG
YKL091C,repressed,NP_012832.1,I,0.8468598308460155,SEC14-like 1 (S. cerevisiae),0XRSQ@NOG
YKL093W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YKL096W,repressed,NP_012827.1,S,0.9998184782267798,Function unknown,11D8K@NOG
YKL099C,induced,NP_012823.2,S,0.00725198931733243,U3 small nucleolar RNA-associated protein,COG5223@NOG
YKL103C,repressed,NP_012819.1,E,2.4936491944344962e-6,Aminopeptidase I zinc metalloprotease (M18),COG1362@NOG
YKL107W,repressed,NP_012815.1,Q,0.6645270543229664,short chain dehydrogenase,COG1028@NOG
YKL109W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YKL141W,repressed,NP_012781.1,C,0.9953301413152312,membrane-anchoring mono-heme cytochrome b subunit of succinate dehydrogenase (SDH) that is involved in system II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q),COG2009@NOG
YKL142W,repressed,NP_012780.1,S,0.9998184782267798,Protein of unknown function (DUF3294),12CT8@NOG
YKL148C,repressed,NP_012774.1,C,0.9953301413152312,subunit of succinate dehydrogenase,COG1053@NOG
YKL150W,repressed,NP_012772.1,M,NA,may mediate the reduction of outer membrane cytochrome b5,COG0543@NOG
YKL151C,repressed,NP_012771.1,G,0.9563292098449211,"Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration (By similarity)",COG0063@NOG
YKL163W,repressed,NP_012758.1,S,0.9998184782267798,Component of the outer cell wall layer. Required for stability of the cell wall and for optimal growth. Required for resistance against several antifungal and cell wall-perturbing agents,11W61@NOG
YKL172W,induced,NP_012749.1,A,0.9999981037358701,Eukaryotic rRNA processing protein EBP2,0YYHN@NOG
YKL178C,repressed,NP_012743.1,T,0.9989297194930686,a factor receptor,11KEN@NOG
YKL180W,induced,NA,S,0.00725198931733243,Function unknown,NA
YKL181W,induced,NP_012740.1,F,0.4153807069687917,Ribose-phosphate pyrophosphokinase,COG0462@NOG
YKL187C,repressed,NP_012734.1,U,0.9999999999997884,SUR7/PalI family,11584@NOG
YKL188C,repressed,NP_012733.1,I,0.8468598308460155,"K15628 ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein",COG4178@NOG
YKL209C,induced,NP_012713.1,Q,0.11694619769130551,ABC transporter transmembrane region,COG1132@NOG
YKL216W,induced,NP_012706.1,F,0.4153807069687917,Catalyzes the conversion of dihydroorotate to orotate with fumarate as the electron acceptor,COG0167@NOG
YKL217W,repressed,NP_012705.1,G,0.9563292098449211,"K08178 MFS transporter, SHS family, lactate transporter",0XSSD@NOG
YKL221W,repressed,NP_012701.2,G,0.9563292098449211,Major Facilitator Superfamily,COG0477@NOG
YKR009C,repressed,NP_012934.1,Q,0.6645270543229664,multifunctional beta-oxidation protein,COG2030@NOG
YKR011C,repressed,NP_012936.1,S,0.9998184782267798,Function unknown,1180Z@NOG
YKR013W,induced,NP_012938.3,S,0.00725198931733243,SCP,COG2340@NOG
YKR024C,induced,NP_012949.1,J,NA,ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs (By similarity),0XNT7@NOG
YKR039W,repressed,NP_012965.3,E,2.4936491944344962e-6,Amino acid permease,COG0531@NOG
YKR042W,induced,NP_012968.4,S,0.00725198931733243,organelle organization,11GRE@NOG
YKR046C,repressed,NP_012972.3,S,0.9998184782267798,Function unknown,11D8S@NOG
YKR056W,induced,NP_012982.2,J,NA,TRAM domain,COG2265@NOG
YKR057W,induced,NA,S,0.00725198931733243,Function unknown,NA
YKR058W,repressed,NP_012984.2,G,0.9563292098449211,"Self-glucosylating initiator of glycogen synthesis. Catalyzes the formation of a short alpha (1,4)-glucosyl chain covalently attached via a glucose 1-O-tyrosyl linkage to internal tyrosine residues. These chains act as primers for the elongation reaction catalyzed by glycogen synthase. Capable of transferring glucosyl residues to unbound acceptors such as free oligoglucans or oligoglucan derivatives",COG5597@NOG
YKR059W,induced,NP_012985.3,J,NA,"ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon (By similarity)",COG0513@NOG
YKR060W,induced,NP_012986.1,J,NA,Inherit from saccNOG: K14775 ribosome biogenesis protein UTP30,11W39@NOG
YKR066C,repressed,NP_012992.1,C,0.9953301413152312,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,COG0376@NOG
YKR067W,repressed,NP_012993.3,I,0.8468598308460155,PlsC,COG0204@NOG
YKR076W,repressed,NP_013002.3,O,0.9699133011869505,Inherit from saccNOG: matrix protein,COG0435@NOG
YKR081C,induced,NP_013007.1,J,NA,Brix,COG5106@NOG
YKR091W,repressed,NP_013017.2,K,0.9998363375969888,Whi5 like,11411@NOG
YKR092C,induced,NP_013018.3,Y,NA,"SRP40, C-terminal domain",11U5P@NOG
YKR094C,induced,NA,S,0.00725198931733243,Function unknown,NA
YKR097W,repressed,NP_013023.3,C,0.9953301413152312,Phosphoenolpyruvate carboxykinase ATP,COG1866@NOG
YLL008W,induced,NP_013093.1,A,0.9999981037358701,ATP-binding RNA helicase involved in ribosome assembly (By similarity),COG0513@NOG
YLL011W,induced,NP_013090.1,A,0.9999981037358701,Sof1-like domain,0XNX6@NOG
YLL020C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLL024C,induced,NP_013076.1,O,0.1672306973643994,involved in protein folding and,COG0443@NOG
YLL026W,repressed,NP_013074.1,O,0.9699133011869505,Clp amino terminal domain,COG0542@NOG
YLL035W,induced,NP_013065.1,S,0.00725198931733243,Polynucleotide 5'-kinase involved in rRNA processing,COG1341@NOG
YLL039C,repressed,NP_013061.1,O,0.9699133011869505,K08770 ubiquitin C,COG5272@NOG
YLL041C,repressed,NP_013059.1,C,0.9953301413152312,Subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q),COG0479@NOG
YLL044W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLL045C,induced,NP_013055.1,J,NA,ribosomal protein L8,COG1358@NOG
YLL055W,repressed,NP_013045.1,P,0.7063766671645022,Inherit from fuNOG: Allantoate,COG0477@NOG
YLL060C,repressed,NP_013040.1,O,0.9699133011869505,"Glutathione S-transferase, N-terminal domain",COG0625@NOG
YLR002C,induced,NP_013102.1,"J, U",NA,Nucleolar complex-associated protein,COG5117@NOG
YLR003C,induced,NP_013103.1,S,0.00725198931733243,Inherit from ascNOG: Conserved hypothetical protein,0XPW6@NOG
YLR009W,induced,NP_013109.1,J,NA,ribosome biogenesis protein RLP24,COG2075@NOG
YLR029C,induced,NP_013129.1,J,NA,Ribosomal protein L15,COG1632@NOG
YLR042C,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR044C,induced,NP_013145.1,H,0.6067317397428283,"of three pyruvate decarboxylases (PDC1, PDC5, PDC6) implicated in the nonoxidative conversion of pyruvate to acetaldehyde and carbon dioxide during alcoholic fermentation. Most of the produced acetaldehyde is subsequently reduced to ethanol, but some is required for cytosolic acetyl-CoA production for biosynthetic pathways. The enzyme is also one of five 2-oxo acid decarboxylases (PDC1, PDC5, PDC6, ARO10, and THI3) able to decarboxylate more complex 2-oxo acids (alpha-keto-acids) than pyruvate, which seem mainly involved in amino acid catabolism. Here the enzyme catalyzes the decarboxylation of amino acids, which, in a first step, have been transaminated to the corresponding 2-oxo acids. In a third step, the resulting aldehydes are reduced to alcohols, collectively referred to as fusel oils or alcohols. Its preferred substrates are the transaminated amino acids valine, isoleucine, phenylalanine, and tryptophan, whereas leucine is no substrate. In a side-reaction the carbanionic intermediate (or active aldehyde) generated by decarboxylation or by activation of an aldehyde can react with an aldehyde via condensation (or carboligation) yielding a 2-hydroxy ketone, collectively called acyloins",COG3961@NOG
YLR048W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR053C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR056W,induced,NP_013157.1,I,0.030881299766512903,Catalyzes the introduction of a C-5 double bond in the B ring of ergosterol. May contribute to the regulation of ergosterol biosynthesis,COG3000@NOG
YLR058C,induced,NP_013159.1,E,8.622285680355961e-4,Interconversion of serine and glycine (By similarity),COG0112@NOG
YLR060W,induced,NP_013161.1,J,NA,B3/4 domain,COG0072@NOG
YLR061W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR062C,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR074C,induced,NP_013175.1,A,0.9999981037358701,Bud site selection protein 20,COG5112@NOG
YLR075W,induced,NP_013176.1,J,NA,Ribosomal protein L10,COG0197@NOG
YLR076C,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR080W,repressed,NP_013181.1,U,0.9999999999997884,Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles,11FM6@NOG
YLR081W,repressed,NP_013182.1,G,0.9563292098449211,glucose transporter of the major facilitator superfamily,0XNQK@NOG
YLR083C,induced,NP_013184.1,U,0.9999976571970102,Protein with a role in cellular adhesion and filamentous growth,0XPIW@NOG
YLR092W,repressed,NP_013193.1,P,0.7063766671645022,"sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",COG0659@NOG
YLR108C,induced,NP_013209.1,S,0.00725198931733243,BTB,0YMZ6@NOG
YLR109W,induced,NP_013210.1,O,0.1672306973643994,Redoxin,COG0678@NOG
YLR134W,induced,NP_013235.1,H,0.6067317397428283,"of three pyruvate decarboxylases (PDC1, PDC5, PDC6) implicated in the nonoxidative conversion of pyruvate to acetaldehyde and carbon dioxide during alcoholic fermentation. Most of the produced acetaldehyde is subsequently reduced to ethanol, but some is required for cytosolic acetyl-CoA production for biosynthetic pathways. The enzyme is also one of five 2-oxo acid decarboxylases (PDC1, PDC5, PDC6, ARO10, and THI3) able to decarboxylate more complex 2-oxo acids (alpha-keto-acids) than pyruvate, which seem mainly involved in amino acid catabolism. Here the enzyme catalyzes the decarboxylation of amino acids, which, in a first step, have been transaminated to the corresponding 2-oxo acids. In a third step, the resulting aldehydes are reduced to alcohols, collectively referred to as fusel oils or alcohols. Its preferred substrates are the transaminated amino acids valine, isoleucine, phenylalanine, and tryptophan, whereas leucine is no substrate. In a side-reaction the carbanionic intermediate (or active aldehyde) generated by decarboxylation or by activation of an aldehyde can react with an aldehyde via condensation (or carboligation) yielding a 2-hydroxy ketone, collectively called acyloins",COG3961@NOG
YLR136C,induced,NP_013237.1,S,0.00725198931733243,cellular iron ion homeostasis,COG5063@NOG
YLR142W,repressed,NP_013243.1,E,2.4936491944344962e-6,Proline dehydrogenase,COG0506@NOG
YLR149C,repressed,NP_013250.1,S,0.9998184782267798,Uncharacterised protein domain (DUF2415),127TM@NOG
YLR150W,induced,NP_013251.1,S,0.00725198931733243,Stm1,121UV@NOG
YLR152C,repressed,NP_013253.1,S,0.9998184782267798,Membrane transport protein,COG0679@NOG
YLR153C,induced,NP_013254.1,H,0.6067317397428283,acetate--CoA ligase,COG0365@NOG
YLR156W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR159W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR164W,repressed,NP_013265.1,C,0.9953301413152312,II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q),11RTW@NOG
YLR167W,induced,NP_013268.1,J,NA,ubiquitin-40S ribosomal protein S31 fusion protein,COG5272@NOG
YLR174W,repressed,NP_013275.1,C,0.9953301413152312,Isocitrate dehydrogenase NADP,COG0538@NOG
YLR175W,induced,NP_013276.1,J,NA,H ACA ribonucleoprotein complex subunit 4,COG0130@NOG
YLR178C,repressed,NP_013279.1,S,0.9998184782267798,Phosphatidylethanolamine-binding protein,COG1881@NOG
YLR180W,induced,NP_013281.1,H,0.6067317397428283,Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity),COG0192@NOG
YLR183C,induced,NP_013284.1,S,0.00725198931733243,chromatin binding,0XT6P@NOG
YLR185W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR186W,induced,NP_013287.1,J,NA,rRNA (pseudouridine) methyltransferase activity,COG1756@NOG
YLR194C,induced,NP_013295.1,S,0.00725198931733243,Function unknown,1154P@NOG
YLR196W,induced,NP_013297.1,S,0.00725198931733243,Periodic tryptophan protein 1,0XT1V@NOG
YLR197W,induced,NP_013298.1,A,0.9999981037358701,Nucleolar protein,COG1498@NOG
YLR198C,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR214W,induced,NP_013315.1,"P, Q",NA,FAD-binding domain,0XNZY@NOG
YLR216C,induced,NP_013317.1,O,0.1672306973643994,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,COG0652@NOG
YLR217W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR221C,induced,NP_013322.1,J,NA,Ribosome assembly protein 3,0Y06E@NOG
YLR222C,induced,NP_013323.1,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 13,0XPQD@NOG
YLR249W,induced,NP_013350.1,J,NA,elongation factor 3,COG0488@NOG
YLR251W,repressed,NP_013352.1,S,0.9998184782267798,May be involved in cellular response to stress. Required to maintain mitochondrial DNA (mtDNA) integrity and stability,11SYH@NOG
YLR252W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR258W,repressed,NP_013359.1,G,0.9563292098449211,glycogen (starch) synthase activity,COG0438@NOG
YLR259C,induced,NP_013360.1,O,0.1672306973643994,TCP-1/cpn60 chaperonin family,COG0459@NOG
YLR264W,induced,NP_013366.1,J,NA,40s ribosomal protein,COG2053@NOG
YLR267W,repressed,NP_013369.1,S,0.9998184782267798,Function unknown,113FE@NOG
YLR270W,repressed,NP_013372.1,S,0.9998184782267798,Scavenger mRNA decapping enzyme (DcpS) N-terminal,COG5075@NOG
YLR276C,induced,NP_013378.1,J,NA,ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs (By similarity),0XR15@NOG
YLR284C,repressed,NP_013386.1,I,0.8468598308460155,Enoyl-CoA hydratase/isomerase family,COG1024@NOG
YLR286C,induced,NP_013388.1,G,2.0609048813476683e-12,Inherit from saccNOG: chitinase,11GPA@NOG
YLR293C,induced,NP_013396.1,U,0.9999976571970102,GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export,0XNRS@NOG
YLR297W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR299W,repressed,NP_013402.1,E,2.4936491944344962e-6,Gamma-glutamyltranspeptidase,COG0405@NOG
YLR300W,induced,NP_013403.1,G,2.0609048813476683e-12,"glucan exo-1,3-beta-glucosidase activity",COG2730@NOG
YLR303W,repressed,NP_013406.1,E,2.4936491944344962e-6,cysteine synthase activity,COG2873@NOG
YLR304C,repressed,NP_013407.1,C,0.9953301413152312,Aconitase C-terminal domain,COG1048@NOG
YLR311C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR312C,repressed,NP_013415.1,S,0.9998184782267798,Function unknown,116UB@NOG
YLR314C,induced,NP_013418.2,D,NA,Septin,COG5019@NOG
YLR325C,induced,NP_013429.1,J,NA,60S ribosomal protein L38,12229@NOG
YLR327C,repressed,NP_013431.1,S,0.9998184782267798,Hyaluronan / mRNA binding family,1265Y@NOG
YLR333C,induced,NP_013437.1,J,NA,ribosomal protein S25,COG4901@NOG
YLR339C,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR340W,induced,NP_013444.1,J,NA,60S acidic ribosomal protein P0,COG0244@NOG
YLR344W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR346C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YLR354C,induced,NP_013458.1,G,2.0609048813476683e-12,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity),COG0176@NOG
YLR356W,repressed,NP_013460.1,S,0.9998184782267798,Involved in the selective degradation of mitochondria via autophagy during starvation and at post-log phase (By similarity),0XZCF@NOG
YLR359W,induced,NP_013463.1,F,0.4153807069687917,Adenylosuccinate lyase C-terminus,COG0015@NOG
YLR367W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR372W,induced,NP_013476.3,I,0.030881299766512903,K10246 fatty acid elongase 3 EC 2.3.1.199,0XRWT@NOG
YLR377C,repressed,NP_013481.3,G,0.9563292098449211,"fructose 1,6-bisphosphate 1-phosphatase activity",COG0158@NOG
YLR388W,induced,NP_013492.3,J,NA,ribosomal protein S29,COG0199@NOG
YLR401C,induced,NP_013505.4,J,NA,"Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs. Specifically modifies U47 in cytoplasmic tRNAs (By similarity)",COG0042@NOG
YLR409C,induced,NP_013513.3,A,0.9999981037358701,U3 small nucleolar RNA-associated protein,0XPJH@NOG
YLR413W,induced,NP_013517.1,S,0.00725198931733243,SUR7/PalI family,114PB@NOG
YLR432W,induced,NP_013536.3,F,0.4153807069687917,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)",COG0516@NOG
YLR435W,induced,NP_013539.4,S,0.00725198931733243,Pre-rRNA-processing protein TSR2,123VE@NOG
YLR438W,repressed,NP_013542.1,E,2.4936491944344962e-6,ornithine-oxo-acid transaminase (EC 2.6.1.13),COG4992@NOG
YLR448W,induced,NA,S,0.00725198931733243,Function unknown,NA
YLR449W,induced,NP_013554.3,B,NA,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity),COG0545@NOG
YLR460C,repressed,NP_013565.3,C,0.9953301413152312,zinc ion binding,COG0604@NOG
YML008C,induced,NP_013706.1,H,0.6067317397428283,Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol,0XP5G@NOG
YML022W,induced,NP_013690.1,F,0.4153807069687917,"Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis",COG0503@NOG
YML024W,induced,NA,S,0.00725198931733243,Function unknown,NA
YML026C,induced,NA,S,0.00725198931733243,Function unknown,NA
YML028W,induced,NP_013684.1,O,0.1672306973643994,C-terminal domain of 1-Cys peroxiredoxin,COG0450@NOG
YML040W,induced,NP_013673.1,K,0.9998779793190825,"Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity)",COG2801@NOG
YML042W,repressed,NP_013670.1,I,0.8468598308460155,Choline/Carnitine o-acyltransferase,0XNZ9@NOG
YML043C,induced,NP_013669.1,K,0.9998779793190825,RNA polymerase I-specific transcription initiation factor,0YBVM@NOG
YML045W,induced,NA,S,0.00725198931733243,Function unknown,NA
YML054C,repressed,NP_013658.1,C,0.9953301413152312,Conserved region in glutamate synthase,COG1304@NOG COG5274@NOG
YML056C,induced,NA,S,0.00725198931733243,Function unknown,NA
YML063W,induced,NP_013648.1,J,NA,40S ribosomal protein S1,COG1890@NOG
YML070W,repressed,NP_013641.1,G,0.9563292098449211,Dihydroxyacetone kinase,COG2376@NOG
YML073C,induced,NA,S,0.00725198931733243,Function unknown,NA
YML080W,induced,NP_013631.1,J,NA,tRNA-dihydrouridine synthase 1,COG0042@NOG
YML091C,repressed,NP_013619.1,J,1.8226309129098509e-037,"ribonuclease P protein component, mitochondrial",0Y92C@NOG
YML093W,induced,NP_013617.1,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 14,COG5644@NOG
YML100W,repressed,NP_013608.1,G,0.9563292098449211,Regulatory subunit of the trehalose synthase complex that catalyzes the production of trehalose from glucose-6- phosphate and UDP-glucose in a two step process. May stabilize the trehalose synthase complex,COG0380@NOG COG1877@NOG
YML118W,repressed,NP_013588.1,K,0.9998363375969888,RNA exonuclease,COG5239@NOG
YML120C,repressed,NP_013586.1,C,0.9953301413152312,Pyridine nucleotide-disulphide oxidoreductase,COG1252@NOG
YML123C,induced,NP_013583.1,P,0.08084512295836578,Sugar (and other) transporter,0ZVN7@NOG
YML128C,repressed,NP_013578.1,S,0.9998184782267798,Putative stress-responsive nuclear envelope protein,11M7X@NOG
YML130C,induced,NP_013576.1,O,0.1672306973643994,"Essential oxidoreductase that oxidizes proteins in the endoplasmic reticulum to produce disulfide bonds. Acts by oxidizing directly PDI1 isomerase through a direct disulfide exchange. Does not act as a direct oxidant of folding substrate, but relies on PDI1 to transfer oxidizing equivalent. Does not oxidize all pdi related proteins, suggesting that it can discriminate between PDI1 and related proteins. Its reoxidation probably involves electron transfer to molecular oxygen via FAD. Acts independently of glutathione. May be responsible for a significant proportion of reactive oxygen species (ROS) in the cell, thereby being a source of oxidative stress (By similarity)",COG5061@NOG
YML131W,repressed,NP_013575.1,S,0.9998184782267798,Zinc-binding dehydrogenase,COG2130@NOG
YMR014W,induced,NP_013727.1,S,0.00725198931733243,BUD22,121P9@NOG
YMR015C,induced,NP_013728.1,Q,0.11694619769130551,C22 sterol desaturase,COG2124@NOG
YMR017W,repressed,NP_013730.1,Z,NA,Inherit from KOG: Synaptosomal-associated protein,0Y3Y0@NOG
YMR040W,repressed,NP_013754.1,U,0.9999999999997884,b-cell receptor-associated protein,COG5374@NOG
YMR049C,induced,NP_013764.1,J,NA,"Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome (By similarity)",0XRBX@NOG
YMR051C,induced,NP_013766.1,K,0.9998779793190825,"Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity)",COG2801@NOG
YMR081C,repressed,NP_013798.1,S,0.9998184782267798,Function unknown,1174B@NOG
YMR090W,repressed,NP_013808.1,G,0.9563292098449211,NmrA-like family,COG0702@NOG
YMR093W,induced,NP_013811.1,A,0.9999981037358701,U3 small nucleolar RNA-associated protein,0XNZ0@NOG
YMR096W,repressed,NP_013814.1,H,0.4737229769854949,pyridoxine biosynthesis protein,COG0214@NOG
YMR104C,repressed,NP_013822.1,T,0.9989297194930686,serine threonine-protein kinase,0XNPH@NOG
YMR105C,repressed,NP_013823.1,G,0.9563292098449211,Phosphoglucomutase,COG0033@NOG
YMR107W,repressed,NP_013825.1,O,0.9699133011869505,Stationary phase-essential protein not required for growth on nonfermentable carbon sources (By similarity),11ABP@NOG
YMR110C,repressed,NP_013828.1,C,0.9953301413152312,Aldehyde dehydrogenase,COG1012@NOG
YMR114C,repressed,NP_013832.1,S,0.9998184782267798,"Uncharacterised ACR, COG2135",COG2135@NOG
YMR116C,induced,NA,S,0.00725198931733243,Function unknown,NA
YMR118C,repressed,NP_013836.1,C,0.9953301413152312,membrane-anchoring mono-heme cytochrome b subunit of succinate dehydrogenase (SDH) that is involved in system II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q),COG2009@NOG
